fname,centroid_1,centroid_2,centroid_3,volume,n_slices,frac_in_cell,edge_dist,n_bkgnd,rand_n_bkgnd,GFP_med,rand_GFP_med,GFP_max,rand_GFP_max,GFP_tot,rand_GFP_tot,GFP_bkgnd,rand_GFP_bkgnd,pLAT_med,rand_pLAT_med,pLAT_max,rand_pLAT_max,pLAT_tot,rand_pLAT_tot,pLAT_bkgnd,rand_pLAT_bkgnd,pCD3z_med,rand_pCD3z_med,pCD3z_max,rand_pCD3z_max,pCD3z_tot,rand_pCD3z_tot,pCD3z_bkgnd,rand_pCD3z_bkgnd
B3-0-0.mat,7.4663282571912,373.385448392555,3.13401015228426,330,6,0.111675126903553,101.880582074024,853,1077,103.494454684153,49.6652560006248,519.833711824423,1619.82400633568,45919.0342725836,54898.1369142579,174.39260533104,367.9440433213,3.71610720312522,33.1221085900063,79.0576513153465,536.717935930293,1268.25721463119,18189.2452934786,83.871456471563,139.94776458989,14.0814904709363,30.4282160052689,166.143106175736,1555.56957198475,3250.17080765361,50084.9239688739,160.860338541936,334.438457905251
B3-0-0.mat,23.308213116205,733.922294008319,3.40317727232498,1114,6,0.0492963979113196,141.942177919597,1807,NaN,141.683844984802,NaN,633.529772727273,NaN,174603.844722922,NaN,273.898636363636,NaN,5.75635353434613,NaN,127.265459818283,NaN,6030.20490497256,NaN,106.047824930158,NaN,-15.2100274207104,NaN,228.420296065917,NaN,-13663.9636211436,NaN,207.034737829187,NaN
B3-0-0.mat,17.7653301886792,428.418632075472,3.45283018867925,127,6,0.149764150943396,79.2357757135225,652,1181,39.2317634675836,2.68084786740548,346.449206902569,188.630114377937,5006.66138756818,-401.969497576869,161.491737649063,247.047207603488,-11.7180323964044,-9.47569280632931,105.539240719935,66.382522931884,-940.959073419224,-730.466697281157,97.9176405559065,107.660187987892,-5.78640182633939,-12.9192453202569,123.749592162474,138.383988905872,-1364.37686432601,-1599.11992098791,160.853618541238,205.181716577207
B3-0-0.mat,73.880059970015,413.947151424288,3.48200899550225,2668,6,1,24.4822384020222,3413,NaN,602.010272276785,NaN,19195.553172115,NaN,5485842.85825542,NaN,247.55585106383,NaN,10.6982974304238,NaN,422.752000877013,NaN,47649.6648907012,NaN,96.4175131481517,NaN,83.0620834029048,NaN,1486.88545312093,NaN,420301.723841551,NaN,193.877460246859,NaN
B3-0-0.mat,79.6402714932127,955.597285067873,3.49660633484163,797,6,0.90158371040724,56.4976450093936,1078,1066,166.518942288073,-9.60816618970799,3284.53029447715,213.17364763313,315383.42011133,-3794.88407680693,262.565885298134,232.560610341904,-2.344130270036,-8.5634178135786,128.420246709379,184.509867881922,-792.02304665415,-1769.12800016327,116.719448673772,115.787342699535,-9.25107080573972,-5.29779497445259,205.102376021497,238.405843111828,-7918.88006448495,-2560.47212095013,209.199062986695,289.819319676751
B3-0-0.mat,100.721136767318,880.731793960924,3.47779751332149,12,3,0.0106571936056838,9.19043450514213,183,609,83.0420013258751,33.1959214172351,383.103882067377,188.446414760911,1480.23804393378,338.296309355606,212.637446808511,247.845390070922,-3.57934754363474,3.67349463368755,30.3089949043012,35.1965393176978,-64.4548998738303,-52.1823169874239,113.158625976141,106.859412130296,-7.71820324138135,20.424276453729,93.8527446864045,134.742154367578,-148.994796787993,278.917434195876,267.564270243688,226.898055571426
B3-0-0.mat,101.893028846154,574.447115384615,3.44230769230769,139,6,0.167067307692308,37.6811306225665,519,745,21.4937230427821,-24.8828979607222,488.533871516724,138.99941743864,6314.20116103775,-2932.76076748165,188.620481927711,266.302702702703,-4.82634646855793,0.0605196567127564,52.6491226215879,64.9529811488162,-1059.45606969506,-357.402038310039,97.9616870950113,106.698046023845,-33.2540308251309,43.7123511967773,94.4322471451553,243.127340260322,-6047.46536972142,4777.45957997919,210.241594123086,192.701030724369
B3-0-0.mat,111.84126984127,404.007326007326,3.45543345543346,819,6,1,2.15874258970228,1545,1649,83.2790302446289,15.1043063648426,2135.43573459263,248.125668306508,209656.098950832,14283.4281390503,187.120320404722,283.620043784967,22.6451460628395,9.48764090145276,605.408802071188,140.653439949754,49861.3915611137,8877.03547894345,89.6238477769963,114.181237548342,46.7753358679021,0.195071413597191,1358.04327138101,202.299289503869,105563.76974891,384.061638662088,189.47314852548,213.450482385616
B3-0-0.mat,116.623776223776,522.648951048951,3.40979020979021,715,6,1,35.7357496168032,1151,1327,63.4118547459228,-5.2044577700068,1081.6388108824,208.497156754431,91187.6886880317,-6352.8139242322,185.58380335045,335.692553008102,35.9300280077754,-3.92282889346191,708.324475733401,105.306256556649,54746.2829202056,-1646.10058140676,100.738862393858,124.784048141365,40.2231723786512,-14.3711835180209,600.310650003164,188.226362268699,49700.3706829878,-7865.56780334719,242.055294971592,347.197386808273
B3-0-0.mat,191.738134206219,872.792144026187,3.4468085106383,582,6,0.95253682487725,8.88545918909722,925,1486,67.4495847083477,29.326161158298,720.210017256204,229.235915638202,61589.4035238226,21603.0949664483,241.355844913031,306.592209361798,-6.10287320406411,5.43506185351773,93.5211305763423,171.382228956065,-3203.95292292935,3031.59103928969,119.954569588402,110.934782608696,-9.20939094292322,0.366881330571488,338.151716778676,191.637225023178,335.354456775901,383.68110615961,301.001574740168,203.238412558101
