,type0,type1,type2
0,,,63.0
1,,,104.0
2,86.0,,35.0
3,1026.0,,
4,,,45.0
5,,,35.0
6,291.0,,100.0
7,,,
8,65.0,,283.0
9,,,143.0
10,109.0,,83.0
11,89.0,,107.0
12,,,57.0
13,98.0,,45.0
14,,,309.0
15,,,147.0
16,742.0,,68.0
17,,,58.0
18,,,167.0
19,,,138.0
20,,,321.0
21,,,130.0
22,,,233.0
23,68.0,,70.0
24,,,
25,,,
26,,,60.0
27,,,30.0
28,,,185.0
29,43.0,,58.0
30,,,177.0
31,236.0,,102.0
32,327.0,,373.0
33,,,
34,,,59.0
35,,,306.0
36,,,251.0
37,115.0,,42.0
38,,,173.0
39,,,288.0
40,,,134.0
41,,,
42,,,81.0
43,,,85.0
44,,,71.0
45,,,36.0
46,127.0,,330.0
47,,,177.0
48,187.0,,341.0
49,,,323.0
50,,,109.0
51,,,58.0
52,138.0,,60.0
53,,,89.0
54,,,164.0
55,618.0,,41.0
56,458.0,,80.0
57,,,35.0
58,,,109.0
59,,,176.0
60,207.0,,32.0
61,713.0,,40.0
62,,,89.0
63,,,111.0
64,,,46.0
65,700.0,,24.0
66,323.0,,
67,,,190.0
68,,,86.0
69,187.0,,63.0
70,115.0,,105.0
71,,,48.0
72,,,155.0
73,350.0,,207.0
74,202.0,,113.0
75,319.0,,133.0
76,622.0,,63.0
77,262.0,,75.0
78,,,164.0
79,314.0,,
80,,,60.0
81,,,106.0
82,103.0,,255.0
83,776.0,,145.0
84,175.0,,102.0
85,,,107.0
86,,,32.0
87,479.0,,48.0
88,363.0,,144.0
89,,,35.0
90,,,113.0
91,117.0,,101.0
92,,,
93,,,112.0
94,,,175.0
95,,,103.0
96,,,
97,,,71.0
98,126.0,,193.0
99,,,195.0
100,,,
101,123.0,,246.0
102,188.0,,93.0
103,1191.0,,64.0
104,662.0,,
105,,,101.0
106,485.0,,93.0
107,,,50.0
108,633.0,,47.0
109,,,61.0
110,362.0,,140.0
111,,,
112,53.0,,101.0
113,716.0,,58.0
114,798.0,,
115,,,33.0
116,,,92.0
117,1171.0,,215.0
118,1044.0,,84.0
119,,,113.0
120,,,105.0
121,,,
122,129.0,,38.0
123,,,
124,,,66.0
125,,,110.0
126,,,64.0
127,338.0,,126.0
128,231.0,,
129,175.0,,88.0
130,437.0,,79.0
131,,,227.0
132,,,43.0
133,,,37.0
134,,,
135,1087.0,,
136,525.0,,120.0
137,,,107.0
138,,,
139,,,26.0
140,97.0,,101.0
141,351.0,,138.0
142,,,
143,,,155.0
144,,,376.0
145,,,94.0
146,461.0,,
147,34.0,,40.0
148,146.0,,
149,,,
150,333.0,,31.0
151,,,94.0
152,587.0,,94.0
153,697.0,,83.0
154,,,69.0
155,,,65.0
156,,,204.0
157,187.0,,43.0
158,777.0,,140.0
159,,,78.0
160,,,37.0
161,,,173.0
162,,,149.0
163,965.0,,244.0
164,,,141.0
165,433.0,,210.0
166,,,47.0
167,,,
168,,,94.0
169,,,107.0
170,,,36.0
171,,,31.0
172,791.0,,138.0
173,315.0,,192.0
174,,,222.0
175,,,102.0
176,,,61.0
177,,,159.0
178,,,261.0
179,122.0,,
180,,,150.0
181,,,11.0
182,,,190.0
183,,,223.0
184,,,105.0
185,315.0,,136.0
186,,,122.0
187,,,55.0
188,,,81.0
189,,,102.0
190,,,
191,,,140.0
192,1130.0,,72.0
193,366.0,,39.0
194,,,24.0
195,,,103.0
196,,,66.0
197,,,80.0
198,,,66.0
199,,,195.0
200,,,92.0
201,,,41.0
202,,,65.0
203,,,202.0
204,,,95.0
205,,,97.0
206,,,
207,223.0,,69.0
208,,,21.0
209,273.0,,77.0
210,,,72.0
211,43.0,,
212,35.0,,
213,106.0,,95.0
214,,,78.0
215,,,67.0
216,,,75.0
217,60.0,,74.0
218,1021.0,,75.0
219,,,45.0
220,880.0,,73.0
221,734.0,,54.0
222,,,82.0
223,,,285.0
224,,,81.0
225,,,128.0
226,,,31.0
227,,,21.0
228,,,101.0
229,,,
230,,,112.0
231,,,35.0
232,,,230.0
233,,,121.0
234,147.0,,218.0
235,305.0,,52.0
236,,,
237,732.0,,43.0
238,95.0,,
239,263.0,,153.0
240,,,41.0
241,,,28.0
242,,,28.0
243,,,79.0
244,559.0,,59.0
245,196.0,,255.0
246,,,57.0
247,,,186.0
