,type0,type1,type2
0,3.0,2.0,289.0
1,3.0,2.0,586.0
2,60.0,2.0,405.0
3,98.0,2.0,3.0
4,2.0,2.0,610.0
5,3.0,1.0,786.0
6,305.0,2.0,802.0
7,15.0,2.0,6.0
8,153.0,2.0,162.0
9,2.0,2.0,725.0
10,363.0,2.0,634.0
11,76.0,3.0,565.0
12,3.0,2.0,555.0
13,179.0,2.0,244.0
14,11.0,1.0,656.0
15,3.0,2.0,220.0
16,392.0,3.0,548.0
17,6.0,2.0,75.0
18,25.0,2.0,661.0
19,7.0,2.0,92.0
20,33.0,2.0,290.0
21,4.0,2.0,719.0
22,3.0,2.0,511.0
23,67.0,2.0,710.0
24,41.0,2.0,8.0
25,3.0,2.0,4.0
26,11.0,2.0,464.0
27,4.0,3.0,430.0
28,6.0,2.0,317.0
29,378.0,2.0,674.0
30,2.0,2.0,104.0
31,105.0,2.0,663.0
32,327.0,2.0,598.0
33,3.0,2.0,3.0
34,6.0,1.0,616.0
35,4.0,2.0,747.0
36,32.0,2.0,231.0
37,99.0,2.0,589.0
38,27.0,2.0,491.0
39,3.0,3.0,194.0
40,20.0,2.0,434.0
41,4.0,2.0,18.0
42,4.0,2.0,87.0
43,29.0,2.0,460.0
44,3.0,2.0,337.0
45,6.0,3.0,578.0
46,139.0,2.0,256.0
47,2.0,2.0,319.0
48,160.0,1.0,384.0
49,5.0,2.0,479.0
50,29.0,2.0,785.0
51,4.0,2.0,83.0
52,173.0,2.0,344.0
53,16.0,2.0,359.0
54,5.0,2.0,197.0
55,265.0,2.0,158.0
56,318.0,2.0,743.0
57,6.0,2.0,445.0
58,28.0,2.0,470.0
59,3.0,2.0,615.0
60,265.0,2.0,311.0
61,86.0,2.0,493.0
62,49.0,3.0,182.0
63,16.0,2.0,457.0
64,42.0,2.0,808.0
65,68.0,2.0,208.0
66,92.0,1.0,41.0
67,5.0,2.0,57.0
68,14.0,1.0,393.0
69,223.0,2.0,523.0
70,352.0,2.0,393.0
71,3.0,3.0,522.0
72,34.0,2.0,235.0
73,223.0,1.0,549.0
74,171.0,2.0,775.0
75,62.0,1.0,955.0
76,97.0,2.0,441.0
77,67.0,2.0,742.0
78,3.0,2.0,793.0
79,77.0,2.0,5.0
80,15.0,1.0,691.0
81,12.0,3.0,744.0
82,89.0,2.0,157.0
83,112.0,3.0,558.0
84,177.0,1.0,637.0
85,14.0,2.0,277.0
86,5.0,3.0,466.0
87,255.0,2.0,429.0
88,208.0,2.0,314.0
89,4.0,2.0,287.0
90,4.0,2.0,649.0
91,240.0,2.0,821.0
92,5.0,2.0,4.0
93,10.0,1.0,774.0
94,3.0,2.0,84.0
95,15.0,3.0,858.0
96,49.0,2.0,6.0
97,17.0,2.0,697.0
98,112.0,2.0,408.0
99,4.0,2.0,537.0
100,9.0,2.0,5.0
101,52.0,2.0,679.0
102,136.0,2.0,658.0
103,59.0,2.0,526.0
104,167.0,2.0,3.0
105,8.0,2.0,168.0
106,224.0,2.0,75.0
107,5.0,2.0,421.0
108,119.0,2.0,690.0
109,24.0,2.0,790.0
110,56.0,2.0,709.0
111,30.0,2.0,39.0
112,265.0,2.0,586.0
113,90.0,2.0,464.0
114,91.0,1.0,4.0
115,3.0,2.0,317.0
116,5.0,2.0,340.0
117,64.0,1.0,747.0
118,169.0,1.0,687.0
119,38.0,2.0,359.0
120,3.0,2.0,684.0
121,3.0,2.0,26.0
122,401.0,2.0,818.0
123,6.0,2.0,8.0
124,13.0,2.0,728.0
125,4.0,2.0,258.0
126,4.0,2.0,760.0
127,67.0,1.0,154.0
128,80.0,1.0,6.0
129,83.0,1.0,473.0
130,124.0,1.0,432.0
131,4.0,2.0,601.0
132,7.0,2.0,197.0
133,5.0,2.0,299.0
134,3.0,2.0,3.0
135,117.0,2.0,10.0
136,153.0,2.0,540.0
137,4.0,2.0,316.0
138,3.0,2.0,19.0
139,3.0,2.0,609.0
140,74.0,2.0,300.0
141,232.0,2.0,450.0
142,4.0,2.0,3.0
143,6.0,2.0,875.0
144,10.0,2.0,549.0
145,5.0,3.0,446.0
