,type0,type1,type2
0,0.0,0.0,289.0
1,0.0,0.0,586.0
2,60.0,0.0,405.0
3,98.0,0.0,0.0
4,0.0,0.0,610.0
5,0.0,0.0,786.0
6,357.0,0.0,802.0
7,0.0,0.0,0.0
8,153.0,0.0,162.0
9,0.0,0.0,725.0
10,363.0,0.0,654.0
11,76.0,0.0,565.0
12,0.0,0.0,555.0
13,179.0,0.0,244.0
14,0.0,0.0,656.0
15,0.0,0.0,220.0
16,392.0,0.0,548.0
17,0.0,0.0,75.0
18,0.0,0.0,661.0
19,0.0,0.0,92.0
20,0.0,0.0,290.0
21,0.0,0.0,751.0
22,0.0,0.0,634.0
23,67.0,0.0,710.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,464.0
27,0.0,0.0,430.0
28,0.0,0.0,317.0
29,378.0,0.0,674.0
30,0.0,0.0,104.0
31,105.0,0.0,663.0
32,327.0,0.0,598.0
33,0.0,0.0,0.0
34,0.0,0.0,676.0
35,0.0,0.0,747.0
36,0.0,0.0,231.0
37,99.0,0.0,642.0
38,0.0,0.0,491.0
39,0.0,0.0,194.0
40,0.0,0.0,563.0
41,0.0,0.0,0.0
42,0.0,0.0,87.0
43,0.0,0.0,460.0
44,0.0,0.0,418.0
45,0.0,0.0,578.0
46,149.0,0.0,275.0
47,0.0,0.0,319.0
48,160.0,0.0,384.0
49,0.0,0.0,479.0
50,0.0,0.0,801.0
51,0.0,0.0,83.0
52,173.0,0.0,344.0
53,0.0,0.0,359.0
54,0.0,0.0,197.0
55,265.0,0.0,158.0
56,323.0,0.0,743.0
57,0.0,0.0,445.0
58,0.0,0.0,470.0
59,0.0,0.0,615.0
60,317.0,0.0,311.0
61,86.0,0.0,493.0
62,0.0,0.0,182.0
63,0.0,0.0,457.0
64,0.0,0.0,865.0
65,68.0,0.0,208.0
66,92.0,0.0,0.0
67,0.0,0.0,57.0
68,0.0,0.0,393.0
69,229.0,0.0,523.0
70,352.0,0.0,393.0
71,0.0,0.0,522.0
72,0.0,0.0,235.0
73,223.0,0.0,549.0
74,171.0,0.0,775.0
75,62.0,0.0,956.0
76,97.0,0.0,441.0
77,67.0,0.0,742.0
78,0.0,0.0,793.0
79,77.0,0.0,0.0
80,0.0,0.0,691.0
81,0.0,0.0,901.0
82,89.0,0.0,157.0
83,112.0,0.0,558.0
84,177.0,0.0,637.0
85,0.0,0.0,277.0
86,0.0,0.0,466.0
87,255.0,0.0,429.0
88,208.0,0.0,314.0
89,0.0,0.0,287.0
90,0.0,0.0,649.0
91,240.0,0.0,821.0
92,0.0,0.0,0.0
93,0.0,0.0,774.0
94,0.0,0.0,84.0
95,0.0,0.0,865.0
96,0.0,0.0,0.0
97,0.0,0.0,697.0
98,112.0,0.0,408.0
99,0.0,0.0,537.0
100,0.0,0.0,0.0
101,52.0,0.0,723.0
102,151.0,0.0,658.0
103,59.0,0.0,526.0
104,167.0,0.0,0.0
105,0.0,0.0,168.0
106,224.0,0.0,75.0
107,0.0,0.0,421.0
108,119.00000000000001,0.0,690.0
109,0.0,0.0,790.0
110,56.00000000000001,0.0,709.0
111,0.0,0.0,0.0
112,265.0,0.0,586.0
113,90.0,0.0,464.0
114,91.0,0.0,0.0
115,0.0,0.0,416.00000000000006
116,0.0,0.0,340.0
117,64.0,0.0,747.0
118,169.0,0.0,687.0
119,0.0,0.0,529.0
120,0.0,0.0,684.0
121,0.0,0.0,0.0
122,405.0,0.0,818.0
123,0.0,0.0,0.0
124,0.0,0.0,738.0
125,0.0,0.0,258.0
126,0.0,0.0,772.0
127,67.0,0.0,154.0
128,80.0,0.0,0.0
129,83.0,0.0,473.0
130,124.0,0.0,432.0
131,0.0,0.0,601.0
132,0.0,0.0,197.0
133,0.0,0.0,299.0
134,0.0,0.0,0.0
135,117.0,0.0,0.0
136,153.0,0.0,540.0
137,0.0,0.0,316.0
138,0.0,0.0,0.0
139,0.0,0.0,708.0
140,74.0,0.0,300.0
141,232.0,0.0,450.0
142,0.0,0.0,0.0
143,0.0,0.0,890.0
144,0.0,0.0,549.0
145,0.0,0.0,446.0
146,122.0,0.0,0.0
147,106.0,0.0,184.0
148,205.0,0.0,0.0
149,0.0,0.0,0.0
150,197.0,0.0,440.0
151,0.0,0.0,621.0
152,219.0,0.0,685.0
153,61.0,0.0,117.0
154,0.0,0.0,62.0
155,0.0,0.0,233.0
156,0.0,0.0,560.0
157,321.0,0.0,294.0
158,275.0,0.0,218.0
159,0.0,0.0,528.0
160,0.0,0.0,643.0
161,0.0,0.0,478.0
162,0.0,0.0,379.0
163,237.0,0.0,550.0
164,0.0,0.0,746.0
165,53.0,0.0,620.0
166,0.0,0.0,484.0
167,0.0,0.0,0.0
168,0.0,0.0,692.0
169,0.0,0.0,803.0
