,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
0,,,,,,,,,,,,,227.0,,,73.0,,,403.0,198.0,753.0,190.0,200.0,575.0,17.0,191.0,74.0
1,,,,,,,,,,,,,,,,,,,358.0,253.0,1078.0,168.0,244.0,454.0,41.0,43.0,148.0
2,,,,,,,,,,,899.0,,,,,96.0,,,66.0,546.0,973.0,30.0,209.0,162.0,115.0,61.0,141.0
3,,,,,,,,,,,,,,1002.0,,446.0,614.0,,,272.0,883.0,218.0,260.0,378.0,26.0,43.0,158.0
4,,,,,,,,,,,,,,,,576.0,,,523.0,70.0,1112.0,343.0,199.0,597.0,77.0,84.0,95.0
5,,,,,,,,,,,,,830.0,,,1132.0,,,326.0,522.0,,267.0,215.0,285.0,16.0,52.0,156.0
6,,,,,,,,,,,,,94.0,,,631.0,757.0,,299.0,751.0,,122.0,171.0,457.0,29.0,25.0,206.0
7,,,,,,,,874.0,,,,,,,,529.0,370.0,,1098.0,426.0,,87.0,54.0,407.0,115.0,135.0,154.0
8,,,,,,,,,,,,,,,,296.0,653.0,,214.0,663.0,,116.0,249.0,501.0,40.0,142.0,82.0
9,,,,,,,,,,,,,,,,228.0,476.0,,52.0,363.0,1178.0,517.0,81.0,609.0,186.0,131.0,144.0
10,684.0,,,,,,,,,,,,,,,397.0,316.0,,,312.0,1109.0,252.0,361.0,299.0,22.0,40.0,141.0
11,,,,,,,,,,,,,,,,,687.0,,449.0,667.0,768.0,41.0,71.0,373.0,37.0,35.0,223.0
12,,,,,,,,,,,,,247.0,,,561.0,,,233.0,960.0,998.0,71.0,288.0,495.0,46.0,74.0,176.0
13,,,,,,,,296.0,,835.0,,,,,,159.0,745.0,,87.0,660.0,1187.0,479.0,403.0,296.0,21.0,70.0,105.0
14,,,,,,,,,,,,,59.0,523.0,,438.0,,,59.0,92.0,,182.0,100.0,576.0,85.0,94.0,151.0
15,,,,,,,,,,,,,,,,835.0,,,73.0,107.0,,14.0,231.0,636.0,60.0,106.0,172.0
16,,,,,,,,,,,,,,905.0,,,,,672.0,463.0,,72.0,166.0,286.0,49.0,71.0,202.0
17,,,,,,,,,,848.0,,,769.0,,,,,,326.0,616.0,,81.0,276.0,95.0,30.0,32.0,176.0
18,,,,,,,,,,,,,,665.0,,889.0,968.0,,188.0,297.0,660.0,261.0,123.0,475.0,28.0,74.0,157.0
19,,,,,,,,,,,,,860.0,,,,671.0,,568.0,857.0,,325.0,261.0,370.0,32.0,70.0,130.0
20,,,,,,,195.0,,,,,,1139.0,1053.0,,400.0,,,217.0,342.0,637.0,265.0,75.0,380.0,33.0,113.0,142.0
21,,,,,,,,,,,,,,,,,,,25.0,283.0,920.0,178.0,185.0,417.0,25.0,75.0,57.0
22,,,,,,,,,,712.0,,,,,,,,,134.0,693.0,,44.0,345.0,291.0,43.0,94.0,64.0
23,,,,,,,,,,,,,,,,731.0,,,22.0,546.0,,140.0,338.0,414.0,53.0,64.0,168.0
24,,,,1055.0,,,467.0,,,627.0,,,892.0,,,,,,231.0,619.0,1121.0,204.0,225.0,461.0,56.0,52.0,151.0
25,,,,,,,,,,,,,626.0,,,317.0,729.0,,456.0,708.0,632.0,186.0,80.0,270.0,56.0,25.0,118.0
26,,,,,,,,,,,,,691.0,,,308.0,283.0,,332.0,446.0,,124.0,174.0,404.0,25.0,112.0,93.0
27,,,,,,,,,,725.0,,,,684.0,,,947.0,,333.0,582.0,614.0,170.0,201.0,324.0,49.0,34.0,148.0
28,,,,,,,,,,,,,762.0,149.0,,,,,205.0,609.0,890.0,100.0,38.0,216.0,111.0,37.0,102.0
29,,,,,,,,,,,,,,,,732.0,938.0,,245.0,63.0,623.0,19.0,295.0,394.0,53.0,144.0,125.0
30,,,,,,,,,,,,,,,,138.0,832.0,,822.0,658.0,876.0,128.0,302.0,394.0,60.0,107.0,112.0
31,,,,,,,,,,,,,888.0,,,61.0,1182.0,,339.0,105.0,863.0,292.0,39.0,289.0,16.0,72.0,152.0
32,,,,,,,,,,,,,,,,91.0,198.0,,448.0,708.0,,176.0,12.0,422.0,96.0,15.0,125.0
33,,,,,,,,,,,,,1193.0,,,,,,274.0,265.0,1102.0,44.0,88.0,692.0,39.0,31.0,100.0
34,,,,333.0,,,718.0,,,,,,,,,212.0,,,663.0,321.0,338.0,225.0,253.0,360.0,30.0,93.0,126.0
35,,,,,,,,,,,,,532.0,,,381.0,784.0,,116.0,565.0,496.0,44.0,54.0,458.0,143.0,85.0,139.0
36,,,,,,,,,,,,,328.0,,,291.0,,,609.0,335.0,,237.0,38.0,297.0,37.0,32.0,98.0
37,,,,,,,,,,,,,850.0,550.0,,1043.0,,,548.0,580.0,,82.0,26.0,429.0,126.0,10.0,179.0
38,,,,,,,,,,1182.0,,,,,,,848.0,,770.0,,793.0,208.0,149.0,276.0,24.0,35.0,120.0
39,,,,,,,,,,,1151.0,,,,,309.0,320.0,,155.0,196.0,,86.0,179.0,602.0,49.0,60.0,118.0
40,,,,,,,,,,,,,297.0,,,243.0,,,537.0,200.0,,155.0,218.0,460.0,11.0,84.0,131.0
41,,,,,,,,,,,,,,,,280.0,720.0,,528.0,474.0,1186.0,147.0,73.0,438.0,26.0,52.0,155.0
42,,,,,,,,,,,,,91.0,,,788.0,1048.0,,1079.0,174.0,1143.0,259.0,190.0,413.0,49.0,79.0,147.0
43,,,,,,,,,,,,,,,,,667.0,,492.0,708.0,,169.0,79.0,276.0,48.0,132.0,106.0
44,,,,,,,,,,,,,,,,67.0,,,56.0,744.0,,64.0,340.0,469.0,72.0,42.0,183.0
45,,,,,,,,,,,,,909.0,,,379.0,,,193.0,418.0,856.0,485.0,259.0,719.0,148.0,129.0,74.0
46,,,,,,,,,,,,,,,,1075.0,1138.0,,1099.0,942.0,706.0,106.0,350.0,508.0,59.0,19.0,191.0
47,,,,,,,,,,,,,209.0,,,268.0,,,464.0,208.0,,99.0,76.0,476.0,13.0,59.0,86.0
48,,,,331.0,,,,,,,,,,,,,,,141.0,237.0,911.0,164.0,316.0,197.0,23.0,46.0,120.0
49,,,,,,,,,,,,,,,,125.0,339.0,,525.0,401.0,1079.0,75.0,255.0,246.0,45.0,67.0,111.0
50,,,,,,,,,,,,,846.0,758.0,,299.0,,,195.0,221.0,864.0,60.0,210.0,508.0,41.0,36.0,130.0
51,,,,,,,,,,273.0,,,,,,,680.0,,770.0,980.0,1159.0,32.0,242.0,352.0,371.0,75.0,146.0
52,,,,,,,,,,,,,,,,693.0,,,209.0,674.0,,321.0,242.0,660.0,77.0,27.0,99.0
53,,,,,,,,,,,,,268.0,352.0,,319.0,,,248.0,530.0,1081.0,441.0,232.0,478.0,78.0,139.0,224.0
54,,,,,,,,,,,,,513.0,,,421.0,,,740.0,92.0,1150.0,508.0,187.0,408.0,34.0,33.0,103.0
55,,,,,,,,,,,,,,1051.0,,,,,859.0,575.0,1143.0,129.0,172.0,361.0,80.0,51.0,250.0
56,,,,,,,,,,,,,783.0,,,120.0,700.0,,361.0,167.0,989.0,56.0,356.0,372.0,92.0,71.0,109.0
57,,,,,,,,,,,,,,,,,,,251.0,753.0,966.0,29.0,48.0,388.0,45.0,90.0,54.0
58,,,,,,,,,,,,,506.0,,,648.0,,,119.0,558.0,,628.0,171.0,526.0,32.0,59.0,122.0
59,,,,,,,,,,,,,287.0,,,636.0,88.0,,66.0,276.0,,103.0,263.0,334.0,33.0,74.0,168.0
60,,,,,,,,,,,,,,,,,1077.0,,551.0,319.0,,139.0,177.0,317.0,34.0,57.0,82.0
61,,,,,,,,,,,,,,,,920.0,,,67.0,110.0,602.0,64.0,173.0,381.0,21.0,37.0,102.0
62,,,,,,,,,,,,,,,,,,,117.0,256.0,,76.0,157.0,619.0,34.0,43.0,143.0
63,,,,,,,,,,,,,,,,1176.0,,,337.0,354.0,,63.0,115.0,387.0,66.0,72.0,96.0
64,,,,966.0,,,,,,,,,,,,588.0,,,320.0,508.0,,48.0,454.0,494.0,64.0,44.0,114.0
65,,,,,,,,,,,,,,,,228.0,767.0,,102.0,269.0,1174.0,197.0,103.0,306.0,25.0,19.0,66.0
66,,,,,,,,,,,1089.0,,,,,281.0,874.0,,118.0,901.0,357.0,51.0,202.0,359.0,28.0,18.0,137.0
67,,,,,,,,,,,,,,,,953.0,618.0,1023.0,37.0,63.0,,131.0,115.0,538.0,86.0,58.0,139.0
68,,,,,,,,,,548.0,,,,,,,,,387.0,712.0,,79.0,84.0,335.0,123.0,32.0,146.0
69,,718.0,,,,,,,,450.0,,,1171.0,,,,915.0,,,163.0,677.0,19.0,122.0,181.0,119.0,77.0,98.0
70,,,,,,,,,,,,,,,,1174.0,1153.0,,856.0,564.0,591.0,271.0,46.0,665.0,107.0,44.0,136.0
71,,,,,,,,,,,,,141.0,,,516.0,,,144.0,710.0,1136.0,141.0,117.0,307.0,78.0,134.0,78.0
