,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
0,,,,,,,,,,,,,,,,,,,,,,245.0,364.0,974.0,85.0,251.0,277.0
1,,,,,,,,,,,,,,,,,,,,,,496.0,632.0,,97.0,96.0,396.0
2,,,,,,,,,,,,,,,,,,,,,,204.0,386.0,744.0,159.0,205.0,279.0
3,,,,,,,,,,,,,,,,,,,,1057.0,,835.0,741.0,644.0,46.0,58.0,285.0
4,,,,,,,,,,,,,,,,,,,,,,481.0,408.0,893.0,244.0,242.0,312.0
5,,,,,,,,,,,,,,,,,,,,,,,549.0,709.0,41.0,183.0,322.0
6,,,,,,,,,,,,,,,,,,,,,,215.0,886.0,991.0,275.0,240.0,407.0
7,,,,,,,,,,,,,,,,,,,,,,399.0,519.0,856.0,232.0,183.0,288.0
8,,,,,,,,,,,,,,,,,,,,,,159.0,551.0,,184.0,194.0,280.0
9,,,,,,,,,,,,,,,,,,,1016.0,,,642.0,621.0,887.0,334.0,304.0,395.0
10,,,,,,,,,,,,,,,,,,,,,,543.0,651.0,538.0,87.0,260.0,349.0
11,,,,,,,,,,,,,,,,,,,575.0,,,654.0,509.0,838.0,434.0,129.0,500.0
12,,,,,,,,,,,,,,,,,,,324.0,,,196.0,786.0,871.0,166.0,254.0,340.0
13,,,,,,,,,,,,,,,,,,,,,,833.0,559.0,682.0,71.0,174.0,268.0
14,,,,,,,,,,,,,,,,,,,206.0,,,496.0,422.0,1158.0,256.0,226.0,292.0
15,,,,,,,,,,,,,,,,,,,,,,85.0,407.0,1130.0,143.0,256.0,395.0
16,,,,,,,,,,,,,,,,,,,,,,433.0,441.0,749.0,93.0,157.0,380.0
17,,,,,,,,,,,,,,,,,,,507.0,,,219.0,651.0,828.0,49.0,236.0,365.0
18,,,,,,,,,,,,,,,,,,,,,,417.0,184.0,901.0,180.0,194.0,345.0
19,,,,,,,,,,,,,,,,,,,,,,920.0,516.0,1037.0,192.0,214.0,305.0
20,,,,,,,,,,,,,,,,444.0,,,802.0,,,417.0,584.0,884.0,167.0,300.0,225.0
21,,,,,,,,,,,,,,,,,,,,,,289.0,501.0,918.0,132.0,388.0,233.0
22,,,,,,,,,,,,,,,,,,,,,,880.0,566.0,885.0,83.0,116.0,326.0
23,,,,,,,,,,,,,,,,,,,145.0,,,715.0,655.0,735.0,214.0,274.0,354.0
24,,,,,,,,,,,,,,,,,,,,,,251.0,674.0,756.0,116.0,123.0,421.0
25,,,,,,,,,,,,,,,,819.0,,,1090.0,,,338.0,766.0,878.0,161.0,377.0,351.0
26,,,,,,,,,,,,,,,,,,,,1166.0,,457.0,575.0,870.0,130.0,237.0,198.0
27,,,,,,,,,,,,,,,,,,,371.0,,,273.0,432.0,824.0,245.0,282.0,365.0
28,,,,,,,,,,,,,,,,,,,,,,477.0,975.0,849.0,185.0,169.0,270.0
29,,,,,,,,,,,,,,,,,,,,,,184.0,688.0,751.0,154.0,284.0,294.0
30,,,,,,,,,,,,,,,,270.0,,,,,,297.0,369.0,1108.0,149.0,182.0,306.0
31,,,,,,,,,,,,,,,,,,,,,,415.0,554.0,712.0,137.0,175.0,276.0
32,,,,,,,,,,,,,,,,,,,735.0,,,290.0,590.0,1067.0,179.0,190.0,323.0
33,,,,,,,,,,,,,,,,,,,750.0,,,568.0,459.0,1192.0,123.0,209.0,225.0
34,,,,,,,,,,,,,,,,,,,,829.0,,428.0,630.0,934.0,183.0,279.0,333.0
35,,,,,,,,,,,,,,,,,,,,,,580.0,386.0,,253.0,232.0,463.0
36,,,,,,,,,,,,,,,,,,,908.0,,,315.0,420.0,727.0,120.0,177.0,229.0
37,,,,,,,,,,,,,,,,,,,,,,203.0,636.0,955.0,145.0,311.0,416.0
38,,,,,,,,,,,,,,,,,,,,,,264.0,452.0,740.0,59.0,80.0,310.0
39,,,,,,,,,,,,,,,,,,,187.0,,,669.0,324.0,,76.0,263.0,293.0
40,,,,,,,,,,,,,,,,,,,,,,291.0,595.0,,29.0,217.0,291.0
41,,,,,,,,,,,,,,,,,,,1193.0,,,279.0,693.0,963.0,93.0,140.0,361.0
42,,,,,,,,,,,,,,,,,,,,1126.0,,997.0,555.0,1035.0,124.0,170.0,441.0
43,,,,,,,,,,,,,,,,,,,,,,588.0,518.0,687.0,88.0,243.0,359.0
44,,,,,,,,,,,,,,,,,,,1038.0,,,743.0,500.0,1184.0,202.0,134.0,332.0
45,,,,,,,,,,,,,,,,,,,,,,742.0,509.0,,438.0,328.0,354.0
46,,,,,,,,,,,,,,,,,,,,,,153.0,771.0,,330.0,67.0,487.0
47,,,,,,,,,,,,,,,,,,,942.0,,,369.0,481.0,1002.0,171.0,153.0,315.0
48,,,,,,,,,,,,,,,,,,,287.0,,,361.0,821.0,597.0,69.0,250.0,333.0
49,,,,,,,,,,,,,,,,,,,,,,228.0,525.0,1015.0,138.0,207.0,376.0
50,,,,,,,,,,,,,,,,,,,838.0,,,613.0,517.0,1110.0,156.0,151.0,296.0
51,,,,,,,,,,,,,,,,,,,,,,262.0,561.0,809.0,407.0,187.0,331.0
52,,,,,,,,,,,,,,,,,,,,,,462.0,785.0,,164.0,166.0,317.0
53,,,,,,,,,,,,,,,,385.0,,,,,,660.0,503.0,1121.0,247.0,395.0,394.0
54,,,,,,,,,,,,,,,,,,,891.0,1175.0,,,703.0,1098.0,223.0,226.0,243.0
55,,,,,,,,,,,,,,,,,,,,,,703.0,620.0,936.0,153.0,242.0,473.0
56,,,,,,,,,,,,,,,,,,,799.0,,,92.0,456.0,900.0,167.0,121.0,335.0
57,,,,,,,,,,,,,,,,,,,,1197.0,,137.0,418.0,981.0,115.0,290.0,312.0
58,,,,,,,,,,,,,671.0,,,,,,667.0,,,905.0,404.0,,168.0,244.0,367.0
59,,,,,,,,,,,,,,,,,,,,702.0,,1023.0,545.0,710.0,79.0,293.0,308.0
60,,,,,,,,,,,,,,,,,,,,,,634.0,601.0,785.0,98.0,94.0,262.0
