,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
0,0.0,3.0,4.0,10.0,24.0,3.0,4.0,4.0,5.0,43.0,29.0,4.0,64.0,46.0,4.0,82.0,30.0,18.0,126.0,169.0,106.0,951.0,1500.0,287.0,1500.0,1500.0,1500.0
1,0.0,3.0,2.0,4.0,3.0,3.0,3.0,48.0,3.0,6.0,15.0,15.0,31.0,33.0,5.0,41.0,35.0,5.0,101.0,89.0,99.0,1149.0,814.0,189.0,1500.0,1500.0,1500.0
2,0.0,4.0,3.0,0.0,3.0,3.0,4.0,4.0,3.0,4.0,55.0,4.0,6.0,34.0,9.0,107.0,45.0,15.0,195.0,94.0,70.0,373.0,705.0,394.0,1500.0,1500.0,1500.0
3,0.0,3.0,4.0,0.0,4.0,3.0,5.0,17.0,4.0,3.0,7.0,6.0,33.0,56.0,5.0,135.0,53.0,11.0,27.0,230.0,54.0,342.0,647.0,513.0,1500.0,1500.0,1500.0
4,0.0,4.0,4.0,0.0,3.0,3.0,0.0,6.0,4.0,19.0,5.0,6.0,50.0,26.0,4.0,56.0,48.0,6.0,93.0,133.0,63.0,850.0,753.0,277.0,1500.0,1500.0,1500.0
5,4.0,2.0,4.0,0.0,15.0,3.0,5.0,16.0,3.0,0.0,35.0,10.0,120.0,17.0,5.0,92.0,23.0,18.0,162.0,125.0,10.0,175.0,717.0,602.0,1500.0,1500.0,1500.0
6,0.0,2.0,3.0,0.0,5.0,5.0,3.0,4.0,10.0,4.0,19.0,4.0,93.0,18.0,5.0,93.0,75.0,6.0,167.0,136.0,50.0,842.0,734.0,347.0,1500.0,1500.0,1500.0
7,0.0,3.0,3.0,5.0,4.0,3.0,5.0,53.0,4.0,9.0,16.0,5.0,41.0,30.0,4.0,80.0,64.0,9.0,124.0,82.0,48.0,396.0,682.0,244.0,1500.0,1500.0,1500.0
8,0.0,20.0,2.0,0.0,3.0,3.0,8.0,9.0,4.0,3.0,22.0,4.0,47.0,32.0,10.0,62.0,79.0,18.0,144.0,121.0,45.0,1162.0,910.0,158.0,1500.0,1500.0,1500.0
9,0.0,2.0,3.0,7.0,8.0,4.0,0.0,3.0,4.0,2.0,4.0,6.0,17.0,12.0,5.0,58.0,130.0,33.0,322.0,180.0,56.0,478.0,951.0,457.0,1500.0,1500.0,1500.0
10,70.0,4.0,3.0,0.0,4.0,4.0,8.0,5.0,4.0,11.0,4.0,5.0,19.0,20.0,14.0,140.0,55.0,35.0,37.0,121.0,51.0,1138.0,649.0,351.0,1500.0,1500.0,1500.0
11,32.0,3.0,3.0,0.0,24.0,3.0,6.0,8.0,3.0,36.0,17.0,11.0,15.0,35.0,6.0,36.0,86.0,35.0,203.0,190.0,150.0,334.0,779.0,435.0,1500.0,1500.0,1500.0
12,0.0,2.0,3.0,3.0,4.0,3.0,4.0,28.0,5.0,39.0,11.0,17.0,84.0,18.0,6.0,180.0,45.0,14.0,413.0,69.0,75.0,504.0,612.0,446.0,1500.0,1500.0,1500.0
13,3.0,17.0,2.0,32.0,6.0,3.0,2.0,51.0,3.0,60.0,15.0,5.0,16.0,8.0,7.0,163.0,75.0,25.0,124.0,84.0,60.0,435.0,524.0,535.0,1500.0,1500.0,1500.0
14,0.0,28.0,3.0,0.0,5.0,4.0,8.0,4.0,3.0,0.0,15.0,6.0,59.0,58.0,5.0,137.0,19.0,16.0,261.0,77.0,40.0,775.0,1046.0,297.0,1500.0,1500.0,1500.0
15,2.0,3.0,2.0,12.0,4.0,2.0,7.0,21.0,6.0,6.0,11.0,7.0,38.0,7.0,19.0,53.0,30.0,9.0,189.0,174.0,40.0,394.0,1241.0,407.0,1500.0,1500.0,1500.0
16,0.0,3.0,3.0,1.0,4.0,5.0,6.0,3.0,8.0,4.0,44.0,8.0,22.0,84.0,16.0,41.0,38.0,7.0,150.0,90.0,42.0,1099.0,1500.0,301.0,1500.0,1500.0,1500.0
17,41.0,4.0,2.0,0.0,3.0,3.0,23.0,12.0,4.0,52.0,36.0,5.0,68.0,15.0,15.0,9.0,31.0,11.0,225.0,140.0,47.0,646.0,1029.0,356.0,1500.0,1500.0,1500.0
