,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
0,,,638.0,,,541.0,339.0,,334.0,757.0,,255.0,,,360.0,,,1049.0,,,
1,906.0,,89.0,,,106.0,,,539.0,,,162.0,,,418.0,,,,,,
2,,,32.0,878.0,,59.0,,,212.0,,,312.0,,,925.0,,,691.0,,,
3,,,48.0,,,110.0,368.0,,51.0,,,252.0,,,742.0,,,729.0,,,
4,,,,,,69.0,,,269.0,,,157.0,,,647.0,,,1163.0,,,
5,44.0,,207.0,665.0,,55.0,,,298.0,,,153.0,,,347.0,,,,,,
6,481.0,,97.0,,,99.0,,,606.0,,,381.0,,,316.0,,,,,,
7,,,1157.0,389.0,,71.0,607.0,,58.0,,,688.0,,,215.0,,,900.0,,,
8,201.0,,238.0,,,68.0,,,404.0,30.0,,20.0,,,,,,,,,
9,267.0,,74.0,773.0,,1092.0,,,448.0,996.0,,309.0,,,555.0,,,,,,
10,,,131.0,444.0,,121.0,,,324.0,,,72.0,,,627.0,,,,,,
11,,,137.0,608.0,,133.0,,,74.0,126.0,,550.0,,,744.0,,,934.0,,,
12,929.0,,,213.0,,157.0,,,73.0,,,17.0,,,461.0,,,,,,
13,149.0,,61.0,,,303.0,,,157.0,,,198.0,,,336.0,,,,,,
14,,,118.0,,,373.0,407.0,,74.0,,,271.0,,,335.0,,,858.0,,,
15,170.0,,135.0,318.0,,665.0,525.0,,1044.0,,,389.0,,,41.0,,,519.0,,,
16,464.0,,146.0,59.0,,86.0,894.0,,42.0,,,177.0,,,528.0,,,1058.0,,,
17,1008.0,,220.0,675.0,,295.0,,,71.0,,,403.0,,,935.0,,,,,,
18,,,80.0,768.0,,262.0,,,197.0,,,109.0,,,691.0,,,949.0,,,
19,,,27.0,,,34.0,849.0,,90.0,646.0,,234.0,,,693.0,,,,,,
20,,,75.0,206.0,,177.0,,,402.0,,,562.0,,,,,,,,,
21,,,27.0,470.0,,707.0,715.0,,92.0,,,938.0,,,759.0,,,,,,
22,617.0,,348.0,,,78.0,,,569.0,298.0,,501.0,,,280.0,,,1188.0,,,
23,,,107.0,,,79.0,,,330.0,,,307.0,,,502.0,,,1112.0,,,
24,,,450.0,,,327.0,837.0,,425.0,,,91.0,,,204.0,,,738.0,,,
25,,,56.0,,,268.0,1195.0,,331.0,,,54.0,,,743.0,,,,,,
26,,,230.0,562.0,,128.0,,,384.0,,,214.0,,,406.0,,,,,,
27,330.0,,825.0,418.0,,378.0,,,269.0,,,418.0,,,893.0,,,,,,
28,,,865.0,310.0,,409.0,460.0,,230.0,,,539.0,,,1178.0,,,,,,
29,,,221.0,345.0,,30.0,761.0,,500.0,1094.0,,191.0,,,422.0,,,923.0,,,
30,,,78.0,,,132.0,,,516.0,,,184.0,,,161.0,,,444.0,,,
31,,,493.0,498.0,,192.0,,,170.0,,,590.0,,,446.0,,,932.0,,,
32,749.0,,80.0,,,74.0,,,43.0,,,228.0,,,,,,513.0,,,
33,,,435.0,,,404.0,,,41.0,,,346.0,,,552.0,,,,,,
34,,,1135.0,157.0,,627.0,1149.0,,84.0,,,124.0,,,350.0,,,931.0,,,
35,,,707.0,,,367.0,571.0,,558.0,,,345.0,,,358.0,,,922.0,,,
36,692.0,,871.0,1122.0,,25.0,34.0,,539.0,,,141.0,583.0,,218.0,,,739.0,,,
37,533.0,,366.0,,,138.0,645.0,,152.0,,,29.0,,,652.0,,,488.0,,,
