,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
0,23.0,2.0,218.0,20.0,4.0,655.0,68.0,3.0,410.0,64.0,4.0,134.0,14.0,3.0,177.0,7.0,4.0,66.0,19.0,3.0,45.0
1,63.0,3.0,356.0,41.0,4.0,292.0,9.0,3.0,325.0,36.0,4.0,266.0,14.0,5.0,117.0,6.0,4.0,41.0,4.0,3.0,28.0
2,31.0,3.0,506.0,51.0,4.0,605.0,34.0,3.0,361.0,6.0,4.0,129.0,10.0,3.0,116.0,5.0,4.0,70.0,4.0,3.0,26.0
3,32.0,3.0,68.0,33.0,4.0,793.0,56.0,5.0,505.0,44.0,4.0,212.0,9.0,4.0,94.0,10.0,4.0,72.0,4.0,3.0,37.0
4,26.0,3.0,1.0,40.0,4.0,299.0,32.0,3.0,904.0,32.0,4.0,217.0,12.0,3.0,74.0,21.0,3.0,54.0,9.0,3.0,8.0
5,218.0,4.0,478.0,81.0,4.0,825.0,37.0,4.0,621.0,25.0,3.0,121.0,36.0,3.0,144.0,5.0,3.0,34.0,4.0,3.0,8.0
6,196.0,7.0,936.0,46.0,4.0,636.0,39.0,3.0,171.0,18.0,4.0,87.0,8.0,3.0,134.0,7.0,4.0,30.0,6.0,3.0,7.0
7,48.0,5.0,67.0,91.0,3.0,384.0,77.0,4.0,208.0,43.0,4.0,139.0,20.0,5.0,242.0,6.0,4.0,60.0,3.0,3.0,25.0
8,114.0,4.0,600.0,23.0,4.0,644.0,48.0,4.0,164.0,63.0,4.0,190.0,13.0,4.0,44.0,5.0,3.0,41.0,4.0,3.0,28.0
9,393.0,3.0,550.0,64.0,4.0,108.0,35.0,4.0,435.0,72.0,3.0,205.0,17.0,4.0,97.0,6.0,4.0,48.0,12.0,3.0,5.0
