,type0_str1_mean,type0_str1_low,type0_str1_high,type0_str0.3_mean,type0_str0.3_low,type0_str0.3_high,type0_str0.1_mean,type0_str0.1_low,type0_str0.1_high,type0_str0.03_mean,type0_str0.03_low,type0_str0.03_high,type0_str0.01_mean,type0_str0.01_low,type0_str0.01_high,type0_str0.003_mean,type0_str0.003_low,type0_str0.003_high,type0_str0.001_mean,type0_str0.001_low,type0_str0.001_high,type1_str1_mean,type1_str1_low,type1_str1_high,type1_str0.3_mean,type1_str0.3_low,type1_str0.3_high,type1_str0.1_mean,type1_str0.1_low,type1_str0.1_high,type1_str0.03_mean,type1_str0.03_low,type1_str0.03_high,type1_str0.01_mean,type1_str0.01_low,type1_str0.01_high,type1_str0.003_mean,type1_str0.003_low,type1_str0.003_high,type1_str0.001_mean,type1_str0.001_low,type1_str0.001_high,type2_str1_mean,type2_str1_low,type2_str1_high,type2_str0.3_mean,type2_str0.3_low,type2_str0.3_high,type2_str0.1_mean,type2_str0.1_low,type2_str0.1_high,type2_str0.03_mean,type2_str0.03_low,type2_str0.03_high,type2_str0.01_mean,type2_str0.01_low,type2_str0.01_high,type2_str0.003_mean,type2_str0.003_low,type2_str0.003_high,type2_str0.001_mean,type2_str0.001_low,type2_str0.001_high,time
0,1.116,0.0,3.0,1.038,0.0,2.0,1.162,0.0,3.0,1.156,0.0,3.0,1.124,0.0,3.0,1.156,0.0,3.0,1.18,0.0,3.0,1.08,0.0,2.0,1.11,0.0,3.0,1.106,0.0,2.0,1.034,0.0,2.0,1.142,0.0,3.0,1.13,0.0,3.0,1.084,0.0,2.0,1.126,0.0,3.0,1.026,0.0,2.0,1.114,0.0,2.0,1.028,0.0,2.0,1.122,0.0,3.0,1.112,0.0,2.1000000000000227,1.178,0.0,3.0,0.0
1,1.112,0.0,3.0,1.04,0.0,2.0,1.154,0.0,3.0,1.134,0.0,3.0,1.156,0.0,3.0,1.046,0.0,2.0,1.112,0.0,2.0,1.078,0.0,2.0,1.104,0.0,3.0,1.096,0.0,2.0,1.066,0.0,2.0,1.176,0.0,3.0,1.126,0.0,3.0,1.126,0.0,3.0,1.124,0.0,3.0,1.018,0.0,2.0,1.108,0.0,2.1000000000000227,1.028,0.0,2.0,1.06,0.0,2.0,1.228,0.0,3.0,1.232,0.0,3.0,0.1
2,1.118,0.0,3.0,1.042,0.0,2.0,1.152,0.0,3.0,1.132,0.0,3.0,1.168,0.0,3.0,1.078,0.0,2.1000000000000227,1.146,0.0,3.0,1.08,0.0,2.0,1.094,0.0,3.0,1.082,0.0,2.0,1.078,0.0,2.0,1.152,0.0,2.1000000000000227,1.166,0.0,3.0,1.13,0.0,3.0,1.12,0.0,3.0,1.016,0.0,2.0,1.098,0.0,2.0,1.052,0.0,2.0,1.066,0.0,3.0,1.184,0.0,3.0,1.112,0.0,3.0,0.2
3,1.114,0.0,3.0,1.038,0.0,2.0,1.16,0.0,3.0,1.132,0.0,3.0,1.104,0.0,3.0,1.122,0.0,2.0,1.162,0.0,3.0,1.078,0.0,2.0,1.092,0.0,3.0,1.084,0.0,2.0,1.078,0.0,3.0,1.13,0.0,3.0,1.128,0.0,3.0,1.054,0.0,2.0,1.124,0.0,3.0,1.022,0.0,2.0,1.108,0.0,2.0,1.084,0.0,2.0,1.07,0.0,2.0,1.15,0.0,3.0,1.088,0.0,2.1000000000000227,0.3
4,1.114,0.0,3.0,1.044,0.0,2.0,1.148,0.0,3.0,1.156,0.0,3.0,1.146,0.0,3.0,1.082,0.0,3.0,1.102,0.0,2.0,1.082,0.0,2.0,1.088,0.0,3.0,1.102,0.0,2.1000000000000227,1.062,0.0,3.0,1.082,0.0,2.0,1.152,0.0,3.0,1.13,0.0,3.0,1.126,0.0,3.0,1.024,0.0,2.0,1.086,0.0,2.0,1.122,0.0,2.0,1.098,0.0,2.0,1.122,0.0,3.0,1.218,0.0,3.0,0.4
5,1.114,0.0,3.0,1.04,0.0,2.0,1.156,0.0,3.0,1.16,0.0,3.0,1.152,0.0,3.0,1.078,0.0,2.0,1.044,0.0,2.0,1.082,0.0,2.0,1.094,0.0,3.0,1.106,0.0,2.0,1.078,0.0,2.0,1.11,0.0,2.0,1.084,0.0,2.0,1.158,0.0,3.0,1.126,0.0,3.0,1.032,0.0,2.0,1.102,0.0,2.0,1.086,0.0,2.0,1.096,0.0,2.0,1.074,0.0,3.0,1.054,0.0,2.0,0.5
6,1.11,0.0,3.0,1.042,0.0,2.0,1.172,0.0,3.0,1.168,0.0,3.0,1.108,0.0,2.0,1.142,0.0,2.0,1.062,0.0,3.0,1.088,0.0,2.0,1.092,0.0,3.0,1.106,0.0,2.0,1.076,0.0,2.0,1.112,0.0,2.0,1.142,0.0,3.0,1.148,0.0,3.0,1.126,0.0,3.0,1.036,0.0,2.0,1.102,0.0,2.0,1.08,0.0,2.0,1.11,0.0,2.0,1.146,0.0,3.0,1.106,0.0,3.0,0.6
7,1.112,0.0,3.0,1.052,0.0,2.0,1.172,0.0,3.0,1.188,0.0,3.0,1.096,0.0,2.1000000000000227,1.128,0.0,2.0,1.16,0.0,3.0,1.088,0.0,2.0,1.11,0.0,3.0,1.106,0.0,2.0,1.078,0.0,2.0,1.122,0.0,2.0,1.154,0.0,3.0,1.098,0.0,2.0,1.124,0.0,3.0,1.036,0.0,2.0,1.106,0.0,2.0,1.108,0.0,2.0,1.102,0.0,2.0,1.116,0.0,3.0,1.07,0.0,2.0,0.7
8,1.114,0.0,3.0,1.06,0.0,2.0,1.156,0.0,3.0,1.176,0.0,3.0,1.102,0.0,2.0,1.098,0.0,2.0,1.102,0.0,2.0,1.088,0.0,2.0,1.106,0.0,3.0,1.11,0.0,2.0,1.078,0.0,2.0,1.116,0.0,3.0,1.208,0.0,3.0,1.13,0.0,3.0,1.122,0.0,3.0,1.04,0.0,2.0,1.096,0.0,2.0,1.102,0.0,2.0,1.134,0.0,2.0,1.088,0.0,3.0,1.07,0.0,2.0,0.8
9,1.114,0.0,3.0,1.062,0.0,2.0,1.14,0.0,3.0,1.152,0.0,3.0,1.084,0.0,2.1000000000000227,1.088,0.0,2.0,1.128,0.0,3.0,1.092,0.0,2.0,1.112,0.0,3.0,1.118,0.0,2.0,1.07,0.0,2.0,1.12,0.0,3.0,1.212,0.0,3.0,1.148,0.0,3.0,1.124,0.0,3.0,1.042,0.0,2.0,1.112,0.0,2.0,1.116,0.0,2.0,1.184,0.0,3.0,1.104,0.0,3.0,1.036,0.0,2.0,0.9
