,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
0,,,,,,,,229.0,232.0,148.0,80.0,33.0
1,,,,,,,,695.0,69.0,123.0,54.0,35.0
2,,,,,,,,311.0,178.0,44.0,47.0,32.0
3,,,,,,,579.0,96.0,254.0,84.0,30.0,39.0
4,,,,,,,941.0,147.0,255.0,104.0,67.0,28.0
5,,,,,,,113.0,265.0,275.0,54.0,38.0,26.0
6,,,,,,735.0,,365.0,116.0,134.0,36.0,28.0
7,,,,,,340.0,,190.0,66.0,60.0,34.0,47.0
8,,,,,,,911.0,244.0,238.0,73.0,43.0,28.0
9,,,,,,883.0,1063.0,680.0,155.0,75.0,65.0,30.0
10,,,,,,,884.0,344.0,206.0,117.0,47.0,43.0
11,,,,,,,365.0,450.0,176.0,105.0,65.0,39.0
12,,,,,,380.0,,554.0,212.0,96.0,75.0,24.0
13,,,,,,,,972.0,674.0,67.0,48.0,33.0
14,,,,,,,,974.0,847.0,68.0,29.0,27.0
15,,,,,,,206.0,218.0,284.0,50.0,43.0,34.0
16,,,,,,,,,543.0,98.0,51.0,33.0
17,,,,,,288.0,,852.0,388.0,139.0,29.0,37.0
18,,,,,,,,478.0,78.0,129.0,42.0,26.0
19,,,,,,,,1101.0,103.0,67.0,36.0,35.0
20,,,,,,,,399.0,130.0,71.0,50.0,24.0
21,,,,,,,,347.0,155.0,140.0,37.0,31.0
22,,,742.0,,,,,690.0,264.0,146.0,48.0,36.0
23,,,,,,,,298.0,100.0,119.0,73.0,25.0
24,,,,,,,255.0,119.0,195.0,75.0,56.0,32.0
25,,,,,,,,442.0,67.0,96.0,47.0,29.0
26,,,,,,864.0,879.0,,318.0,91.0,59.0,17.0
27,,,,,,828.0,,501.0,205.0,111.0,45.0,30.0
28,,,,,,,,386.0,61.0,193.0,52.0,31.0
29,,,,,,,,878.0,158.0,72.0,65.0,28.0
30,,,,,,,615.0,128.0,218.0,97.0,78.0,32.0
31,,,,,,,1135.0,936.0,301.0,209.0,51.0,30.0
32,,,,,,,1136.0,517.0,98.0,107.0,51.0,28.0
33,,,,,,,,249.0,87.0,88.0,35.0,24.0
34,,,,,,619.0,256.0,214.0,244.0,101.0,63.0,40.0
35,,,,,,,323.0,358.0,141.0,77.0,40.0,32.0
36,,,,,,,640.0,635.0,113.0,75.0,66.0,38.0
37,,,,,,,385.0,,244.0,152.0,68.0,35.0
38,,,,,,,461.0,705.0,106.0,85.0,40.0,27.0
39,,,,,,,1029.0,315.0,589.0,60.0,71.0,32.0
40,,,,,,,902.0,206.0,104.0,107.0,40.0,27.0
41,,,,,,,668.0,167.0,281.0,95.0,68.0,24.0
42,,,,,,,,804.0,57.0,64.0,51.0,36.0
43,,,,,,,,491.0,107.0,55.0,52.0,36.0
44,,,,,,,,447.0,656.0,81.0,82.0,25.0
45,,,,,,,,83.0,139.0,110.0,30.0,26.0
46,,,,,,,534.0,306.0,76.0,77.0,48.0,33.0
47,,,,,,,,,94.0,115.0,50.0,29.0
48,,,,,,380.0,837.0,839.0,373.0,82.0,54.0,29.0
49,,,,,,1052.0,,592.0,77.0,56.0,56.0,43.0
50,,,,1106.0,,,1140.0,378.0,130.0,130.0,35.0,27.0
51,,,,,,,,591.0,290.0,272.0,71.0,38.0
52,,,,,,,,191.0,137.0,79.0,46.0,34.0
53,,,,,,,376.0,331.0,74.0,193.0,56.0,26.0
54,,,,,1169.0,,,246.0,129.0,144.0,73.0,40.0
55,,,,,,,873.0,175.0,110.0,217.0,73.0,22.0
56,,,,,,,338.0,177.0,220.0,141.0,54.0,37.0
57,,,,,465.0,,,242.0,687.0,79.0,36.0,36.0
58,,,,,,,1062.0,,332.0,77.0,45.0,27.0
59,,,,,,,,439.0,168.0,98.0,53.0,31.0
60,,,,,,,,320.0,98.0,102.0,61.0,33.0
61,,,,,,,1113.0,784.0,76.0,46.0,47.0,37.0
62,,,,,,,827.0,296.0,181.0,53.0,70.0,35.0
63,,,,,,,722.0,99.0,209.0,60.0,43.0,28.0
64,,,,,,,416.0,161.0,221.0,52.0,65.0,21.0
65,,,,,,,,295.0,254.0,102.0,45.0,34.0
66,,,,,,,,135.0,75.0,53.0,37.0,37.0
67,,,,,,,,385.0,178.0,68.0,74.0,30.0
68,,,,,,,767.0,266.0,90.0,104.0,50.0,35.0
69,,,,,,,303.0,292.0,193.0,167.0,38.0,25.0
70,,,,,,,,1009.0,335.0,63.0,50.0,36.0
71,,,,,714.0,,,447.0,424.0,125.0,61.0,28.0
72,,,,,,,,317.0,272.0,286.0,35.0,39.0
73,,,,,,,,743.0,127.0,181.0,65.0,48.0
74,,,,,,,,581.0,117.0,256.0,53.0,35.0
75,,,,,,475.0,,893.0,295.0,129.0,50.0,36.0
76,,,,,,202.0,1094.0,,128.0,75.0,48.0,27.0
77,,,,,,,,102.0,303.0,78.0,47.0,28.0
78,,,,,,,,,383.0,124.0,41.0,30.0
79,,,,,,,,120.0,175.0,194.0,35.0,33.0
80,,,,,,,1127.0,522.0,82.0,163.0,35.0,31.0
81,,,,,,,,1049.0,238.0,60.0,43.0,33.0
82,,,,,,,890.0,931.0,131.0,58.0,41.0,25.0
83,,,,,,,860.0,139.0,108.0,68.0,46.0,43.0
84,,,,414.0,,,,481.0,134.0,109.0,38.0,23.0
85,,,,,,,,1087.0,321.0,89.0,57.0,31.0
