,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,469.0,655.0,605.0,1319.0,634.0
1,3.0,3.0,3.0,4.0,5.0,5.0,5.0,324.0,688.0,757.0,881.0,991.0
2,3.0,3.0,4.0,3.0,6.0,4.0,5.0,290.0,440.0,600.0,1067.0,771.0
3,3.0,3.0,4.0,4.0,4.0,5.0,267.0,498.0,362.0,425.0,1117.0,1500.0
4,4.0,3.0,3.0,4.0,4.0,4.0,127.0,455.0,432.0,480.0,938.0,807.0
5,3.0,4.0,3.0,3.0,4.0,4.0,394.0,452.0,406.0,530.0,1416.0,1500.0
6,4.0,4.0,4.0,4.0,4.0,178.0,5.0,405.0,502.0,788.0,944.0,1007.0
7,3.0,3.0,4.0,3.0,4.0,280.0,5.0,471.0,438.0,789.0,976.0,1500.0
8,3.0,3.0,3.0,5.0,4.0,4.0,146.0,456.0,373.0,688.0,958.0,944.0
9,3.0,3.0,3.0,4.0,4.0,146.0,114.0,260.0,598.0,622.0,777.0,1500.0
10,3.0,3.0,4.0,4.0,4.0,5.0,142.0,308.0,456.0,627.0,871.0,1313.0
11,3.0,3.0,4.0,4.0,4.0,4.0,335.0,328.0,648.0,766.0,912.0,1244.0
12,4.0,3.0,4.0,4.0,4.0,258.0,5.0,336.0,708.0,599.0,1046.0,1073.0
13,3.0,4.0,3.0,5.0,4.0,4.0,5.0,184.0,405.0,625.0,491.0,1282.0
14,3.0,3.0,3.0,3.0,4.0,5.0,4.0,147.0,450.0,445.0,1314.0,1441.0
15,4.0,3.0,3.0,3.0,4.0,5.0,370.0,371.0,557.0,772.0,753.0,1056.0
16,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,530.0,690.0,1051.0,1081.0
17,3.0,3.0,4.0,4.0,5.0,288.0,5.0,237.0,581.0,900.0,883.0,1209.0
18,3.0,3.0,4.0,5.0,4.0,4.0,6.0,366.0,678.0,599.0,867.0,1210.0
19,3.0,4.0,4.0,3.0,4.0,5.0,4.0,106.0,445.0,677.0,554.0,1461.0
20,4.0,3.0,3.0,4.0,3.0,3.0,5.0,427.0,459.0,417.0,699.0,1468.0
21,3.0,3.0,3.0,4.0,4.0,4.0,4.0,380.0,655.0,455.0,563.0,1029.0
22,3.0,3.0,113.0,4.0,4.0,4.0,6.0,287.0,563.0,506.0,930.0,959.0
23,3.0,3.0,4.0,4.0,4.0,6.0,5.0,363.0,589.0,619.0,1022.0,885.0
24,3.0,3.0,4.0,4.0,4.0,4.0,371.0,480.0,416.0,492.0,397.0,784.0
25,3.0,4.0,4.0,5.0,4.0,4.0,5.0,454.0,818.0,609.0,554.0,755.0
26,3.0,4.0,3.0,3.0,4.0,151.0,143.0,5.0,644.0,563.0,990.0,1190.0
27,3.0,3.0,3.0,4.0,5.0,164.0,5.0,346.0,539.0,439.0,616.0,951.0
28,3.0,3.0,3.0,4.0,4.0,5.0,5.0,299.0,403.0,965.0,660.0,963.0
29,3.0,3.0,4.0,3.0,4.0,4.0,5.0,219.0,499.0,710.0,548.0,1110.0
30,3.0,3.0,4.0,4.0,4.0,4.0,264.0,468.0,433.0,570.0,777.0,1103.0
31,3.0,3.0,3.0,3.0,5.0,6.0,74.0,202.0,474.0,632.0,855.0,1484.0
32,3.0,3.0,4.0,4.0,4.0,4.0,77.0,382.0,721.0,695.0,711.0,680.0
33,3.0,3.0,3.0,4.0,4.0,4.0,5.0,445.0,552.0,835.0,811.0,634.0
34,3.0,3.0,3.0,4.0,5.0,208.0,357.0,463.0,451.0,674.0,611.0,1026.0
35,3.0,3.0,3.0,3.0,5.0,5.0,351.0,412.0,662.0,534.0,885.0,1072.0
36,3.0,3.0,4.0,5.0,4.0,4.0,229.0,311.0,530.0,1063.0,532.0,1500.0
37,3.0,3.0,3.0,4.0,4.0,5.0,292.0,5.0,460.0,727.0,1091.0,1061.0
38,3.0,3.0,3.0,3.0,4.0,4.0,295.0,236.0,282.0,530.0,1093.0,534.0
39,3.0,3.0,4.0,4.0,4.0,4.0,119.0,459.0,434.0,445.0,558.0,1500.0
40,3.0,3.0,3.0,4.0,5.0,4.0,162.0,419.0,446.0,947.0,833.0,930.0
41,3.0,3.0,3.0,4.0,5.0,4.0,240.0,470.0,532.0,587.0,1323.0,872.0
42,3.0,3.0,4.0,4.0,5.0,5.0,5.0,208.0,682.0,499.0,738.0,935.0
43,3.0,3.0,3.0,4.0,5.0,4.0,4.0,252.0,415.0,1092.0,853.0,851.0
44,3.0,3.0,4.0,3.0,4.0,4.0,6.0,296.0,583.0,923.0,679.0,1147.0
45,3.0,3.0,3.0,4.0,4.0,4.0,4.0,492.0,601.0,633.0,741.0,993.0
46,3.0,3.0,3.0,3.0,4.0,5.0,270.0,433.0,640.0,998.0,612.0,1500.0
47,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,719.0,798.0,586.0,767.0
48,2.0,4.0,4.0,4.0,5.0,259.0,210.0,229.0,507.0,473.0,1102.0,1410.0
49,3.0,3.0,3.0,4.0,4.0,100.0,5.0,365.0,797.0,628.0,615.0,769.0
50,3.0,4.0,4.0,70.0,4.0,4.0,74.0,429.0,543.0,690.0,1015.0,1106.0
51,3.0,3.0,3.0,4.0,4.0,4.0,23.0,351.0,595.0,871.0,639.0,1500.0
52,3.0,3.0,3.0,4.0,4.0,4.0,5.0,334.0,342.0,736.0,1051.0,726.0
53,3.0,3.0,4.0,4.0,4.0,4.0,344.0,544.0,660.0,394.0,537.0,1040.0
54,2.0,4.0,3.0,3.0,64.0,4.0,5.0,418.0,622.0,629.0,1257.0,837.0
55,2.0,3.0,4.0,4.0,4.0,5.0,200.0,365.0,607.0,539.0,1029.0,943.0
56,3.0,3.0,3.0,4.0,4.0,5.0,328.0,511.0,430.0,573.0,840.0,1020.0
57,3.0,4.0,4.0,3.0,186.0,5.0,5.0,456.0,378.0,437.0,918.0,1261.0
58,2.0,3.0,4.0,5.0,4.0,4.0,102.0,5.0,552.0,1070.0,502.0,1500.0
59,4.0,4.0,4.0,5.0,4.0,4.0,5.0,417.0,645.0,685.0,753.0,800.0
60,2.0,3.0,3.0,5.0,4.0,5.0,4.0,433.0,469.0,680.0,1004.0,905.0
61,3.0,3.0,4.0,4.0,4.0,5.0,88.0,240.0,756.0,444.0,725.0,944.0
62,3.0,3.0,3.0,4.0,4.0,6.0,184.0,419.0,463.0,945.0,1030.0,1188.0
63,3.0,3.0,4.0,3.0,4.0,4.0,227.0,450.0,382.0,970.0,846.0,1093.0
64,3.0,3.0,3.0,4.0,5.0,5.0,330.0,440.0,556.0,720.0,567.0,1086.0
65,3.0,3.0,3.0,5.0,4.0,4.0,5.0,402.0,741.0,644.0,816.0,1500.0
66,3.0,3.0,4.0,4.0,4.0,5.0,5.0,531.0,409.0,508.0,647.0,1132.0
67,3.0,3.0,3.0,4.0,5.0,5.0,5.0,402.0,365.0,755.0,1033.0,766.0
68,4.0,3.0,3.0,3.0,4.0,4.0,214.0,402.0,326.0,676.0,878.0,1500.0
69,3.0,3.0,3.0,3.0,5.0,4.0,329.0,343.0,406.0,471.0,995.0,1265.0
70,3.0,3.0,3.0,4.0,4.0,5.0,4.0,148.0,380.0,1108.0,578.0,858.0
71,3.0,3.0,3.0,4.0,150.0,4.0,14.0,345.0,649.0,432.0,842.0,1500.0
72,3.0,3.0,3.0,4.0,4.0,4.0,4.0,450.0,580.0,832.0,881.0,656.0
73,3.0,4.0,3.0,3.0,4.0,4.0,5.0,248.0,354.0,676.0,491.0,1500.0
74,3.0,3.0,3.0,4.0,3.0,4.0,5.0,381.0,595.0,718.0,1364.0,1043.0
75,3.0,3.0,4.0,3.0,4.0,267.0,5.0,208.0,564.0,641.0,505.0,979.0
76,3.0,3.0,3.0,4.0,4.0,255.0,89.0,6.0,391.0,664.0,943.0,1209.0
77,3.0,3.0,3.0,4.0,5.0,4.0,5.0,504.0,565.0,1038.0,1067.0,1500.0
78,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,803.0,478.0,535.0,1253.0
79,3.0,3.0,3.0,3.0,4.0,29.0,5.0,534.0,749.0,756.0,1108.0,1500.0
80,3.0,3.0,3.0,4.0,5.0,4.0,77.0,371.0,745.0,602.0,817.0,633.0
81,3.0,3.0,3.0,5.0,4.0,5.0,5.0,138.0,598.0,662.0,440.0,1500.0
82,3.0,3.0,3.0,4.0,4.0,4.0,158.0,177.0,403.0,814.0,542.0,1500.0
83,3.0,4.0,3.0,3.0,3.0,4.0,247.0,498.0,561.0,586.0,562.0,1446.0
84,3.0,3.0,4.0,160.0,4.0,5.0,5.0,482.0,696.0,1058.0,777.0,1440.0
85,3.0,3.0,3.0,4.0,6.0,4.0,5.0,118.0,376.0,830.0,434.0,516.0
86,3.0,3.0,4.0,3.0,4.0,5.0,5.0,33.0,383.0,752.0,959.0,1025.0
87,3.0,3.0,3.0,3.0,5.0,5.0,321.0,463.0,538.0,467.0,900.0,814.0
88,4.0,3.0,4.0,4.0,4.0,4.0,5.0,477.0,347.0,988.0,412.0,941.0
89,3.0,3.0,4.0,3.0,4.0,276.0,5.0,5.0,658.0,658.0,524.0,785.0
90,3.0,3.0,4.0,3.0,4.0,5.0,172.0,260.0,556.0,529.0,576.0,988.0
91,3.0,3.0,3.0,4.0,5.0,5.0,5.0,474.0,501.0,562.0,797.0,1455.0
92,3.0,3.0,3.0,4.0,4.0,5.0,358.0,197.0,448.0,491.0,546.0,819.0
93,3.0,3.0,3.0,5.0,4.0,5.0,5.0,551.0,386.0,528.0,1333.0,1225.0
94,3.0,3.0,3.0,5.0,4.0,5.0,5.0,529.0,511.0,525.0,939.0,917.0
95,3.0,3.0,3.0,3.0,4.0,4.0,4.0,661.0,699.0,730.0,608.0,869.0
96,3.0,4.0,3.0,3.0,5.0,4.0,124.0,414.0,669.0,522.0,785.0,748.0
97,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,696.0,572.0,1123.0,1231.0
98,3.0,3.0,4.0,4.0,3.0,4.0,329.0,479.0,724.0,467.0,886.0,1500.0
99,3.0,3.0,3.0,3.0,4.0,5.0,5.0,289.0,445.0,666.0,727.0,1173.0
100,3.0,3.0,3.0,4.0,4.0,5.0,66.0,131.0,409.0,604.0,928.0,890.0
101,4.0,3.0,3.0,4.0,4.0,47.0,5.0,6.0,380.0,768.0,535.0,1044.0
102,3.0,4.0,3.0,4.0,4.0,4.0,5.0,452.0,579.0,785.0,1134.0,1134.0
103,3.0,3.0,3.0,4.0,5.0,5.0,6.0,272.0,744.0,451.0,560.0,1500.0
104,3.0,3.0,3.0,5.0,4.0,5.0,279.0,471.0,375.0,435.0,427.0,1103.0
105,3.0,3.0,3.0,4.0,4.0,4.0,4.0,374.0,610.0,776.0,952.0,1200.0
106,5.0,3.0,3.0,3.0,4.0,231.0,4.0,264.0,665.0,890.0,776.0,977.0
107,3.0,3.0,4.0,3.0,4.0,265.0,95.0,364.0,432.0,1017.0,855.0,1410.0
108,3.0,3.0,4.0,4.0,5.0,4.0,5.0,408.0,549.0,439.0,723.0,966.0
109,3.0,4.0,4.0,5.0,4.0,4.0,5.0,311.0,474.0,1052.0,954.0,918.0
110,3.0,3.0,4.0,3.0,4.0,248.0,5.0,350.0,471.0,711.0,730.0,1264.0
111,3.0,3.0,3.0,4.0,5.0,4.0,7.0,306.0,419.0,518.0,636.0,763.0
112,3.0,3.0,3.0,4.0,3.0,105.0,340.0,315.0,383.0,710.0,850.0,1500.0
113,3.0,3.0,4.0,4.0,4.0,5.0,4.0,404.0,638.0,429.0,739.0,1285.0
114,3.0,3.0,4.0,4.0,4.0,290.0,6.0,130.0,491.0,419.0,1166.0,1244.0
115,3.0,3.0,3.0,3.0,4.0,5.0,4.0,436.0,395.0,561.0,747.0,1116.0
116,3.0,3.0,3.0,3.0,4.0,5.0,5.0,250.0,518.0,550.0,660.0,644.0
117,3.0,3.0,4.0,4.0,4.0,4.0,7.0,490.0,556.0,727.0,584.0,1212.0
118,3.0,3.0,3.0,4.0,4.0,5.0,5.0,107.0,534.0,913.0,792.0,1165.0
119,3.0,3.0,4.0,3.0,4.0,213.0,5.0,676.0,330.0,641.0,1060.0,1500.0
120,3.0,3.0,4.0,4.0,4.0,4.0,367.0,533.0,532.0,828.0,674.0,1161.0
121,3.0,3.0,4.0,4.0,6.0,5.0,372.0,410.0,447.0,495.0,716.0,989.0
122,2.0,4.0,4.0,4.0,4.0,5.0,5.0,59.0,556.0,955.0,711.0,725.0
123,3.0,4.0,4.0,4.0,4.0,5.0,5.0,389.0,790.0,583.0,385.0,1406.0
124,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,379.0,454.0,749.0,695.0
125,3.0,3.0,3.0,4.0,5.0,5.0,5.0,420.0,539.0,643.0,622.0,803.0
126,3.0,3.0,4.0,4.0,4.0,4.0,5.0,369.0,399.0,1062.0,999.0,830.0
127,3.0,3.0,5.0,4.0,3.0,5.0,208.0,324.0,247.0,973.0,942.0,918.0
128,2.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,701.0,1013.0,619.0,1217.0
129,3.0,3.0,3.0,4.0,4.0,4.0,5.0,478.0,337.0,573.0,948.0,1103.0
130,3.0,3.0,7.0,4.0,4.0,4.0,351.0,269.0,410.0,504.0,698.0,1500.0
131,3.0,3.0,4.0,3.0,5.0,4.0,113.0,271.0,510.0,885.0,734.0,896.0
132,3.0,3.0,3.0,3.0,4.0,5.0,55.0,166.0,758.0,582.0,679.0,1500.0
133,3.0,4.0,3.0,3.0,4.0,4.0,351.0,6.0,520.0,987.0,995.0,1500.0
134,3.0,3.0,3.0,3.0,4.0,4.0,307.0,341.0,543.0,524.0,853.0,1500.0
135,3.0,3.0,3.0,4.0,4.0,5.0,4.0,401.0,645.0,943.0,721.0,775.0
136,3.0,3.0,4.0,4.0,4.0,5.0,264.0,6.0,448.0,593.0,519.0,733.0
137,2.0,3.0,3.0,4.0,4.0,5.0,261.0,308.0,553.0,634.0,469.0,985.0
138,3.0,3.0,3.0,4.0,4.0,5.0,378.0,232.0,657.0,564.0,1079.0,1203.0
139,3.0,3.0,4.0,4.0,4.0,5.0,220.0,273.0,490.0,667.0,940.0,717.0
140,3.0,3.0,4.0,4.0,4.0,4.0,377.0,5.0,525.0,701.0,782.0,830.0
141,3.0,3.0,4.0,3.0,4.0,4.0,20.0,198.0,391.0,806.0,713.0,901.0
142,3.0,3.0,4.0,4.0,4.0,4.0,5.0,260.0,692.0,1032.0,679.0,1037.0
143,3.0,3.0,3.0,4.0,4.0,4.0,284.0,462.0,576.0,645.0,729.0,786.0
144,3.0,4.0,3.0,3.0,3.0,5.0,5.0,362.0,417.0,1061.0,1377.0,783.0
145,3.0,3.0,3.0,4.0,4.0,4.0,359.0,472.0,427.0,698.0,739.0,1339.0
146,3.0,4.0,4.0,3.0,4.0,4.0,5.0,252.0,505.0,529.0,863.0,1169.0
147,3.0,3.0,3.0,4.0,4.0,4.0,373.0,321.0,343.0,376.0,703.0,934.0
148,3.0,5.0,4.0,4.0,196.0,4.0,234.0,272.0,402.0,646.0,437.0,1039.0
149,3.0,3.0,3.0,4.0,4.0,4.0,4.0,422.0,425.0,534.0,941.0,1066.0
150,3.0,4.0,3.0,4.0,4.0,181.0,6.0,474.0,497.0,652.0,826.0,1125.0
151,4.0,3.0,3.0,4.0,4.0,4.0,238.0,5.0,605.0,450.0,1054.0,1132.0
152,3.0,3.0,3.0,4.0,4.0,234.0,4.0,204.0,574.0,1036.0,920.0,772.0
153,3.0,3.0,3.0,4.0,5.0,263.0,5.0,512.0,564.0,677.0,942.0,1055.0
