,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0,655.0,1046.0,1319.0,1788.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,688.0,1052.0,1421.0,1668.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,795.0000000000001,1036.0,1448.0,1791.0
3,0.0,0.0,0.0,0.0,0.0,0.0,267.0,498.00000000000006,769.0,1127.0,1371.0000000000002,1772.0
4,0.0,0.0,0.0,0.0,0.0,0.0,127.0,454.99999999999994,815.0,1134.0,1307.0000000000002,1740.0
5,0.0,0.0,0.0,0.0,0.0,0.0,393.99999999999994,451.99999999999994,653.0,995.0,1416.0,1722.0
6,0.0,0.0,0.0,0.0,0.0,178.0,0.0,405.0,864.0,1069.0,1355.0000000000002,1783.0
7,0.0,0.0,0.0,0.0,0.0,280.0,0.0,471.0,816.0,963.0,1344.0,1718.0
8,0.0,0.0,0.0,0.0,0.0,0.0,244.99999999999997,456.0,716.0,1138.0,1358.0,1784.0
9,0.0,0.0,0.0,0.0,0.0,146.0,114.0,260.0,743.0,1053.0,1354.0,1713.0
10,0.0,0.0,0.0,0.0,0.0,0.0,142.0,614.0,825.0,1040.0,1399.0,1711.0
11,0.0,0.0,0.0,0.0,0.0,0.0,334.99999999999994,544.0,648.0,1113.0,1399.0,1737.0
12,0.0,0.0,0.0,0.0,0.0,258.0,0.0,336.0,708.0,1073.0,1336.0,1767.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.99999999999997,405.0,1052.0,1353.0000000000002,1854.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,450.00000000000006,1088.0,1314.0,1730.0
15,0.0,0.0,0.0,0.0,0.0,0.0,370.0,600.0000000000001,834.0,1173.0,1336.0,1688.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,1045.0,1373.0,1652.0
17,0.0,0.0,0.0,0.0,0.0,288.0,0.0,236.99999999999997,581.0,900.0,1460.0,1783.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.00000000000006,678.0,1124.0,1444.0,1717.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,854.0,1025.0,1385.0000000000002,1712.0000000000002
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,713.9999999999999,1053.0,1417.0,1731.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,829.0,1104.0,1390.9999999999998,1692.0
22,0.0,0.0,113.0,0.0,0.0,0.0,0.0,287.0,563.0,1009.0,1381.0,1676.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,786.0,909.0,1353.0,1800.0
24,0.0,0.0,0.0,0.0,0.0,0.0,371.0,480.0,767.0,1103.0,1368.0,1724.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,818.0,1038.0,1421.0,1716.0
26,0.0,0.0,0.0,0.0,0.0,151.0,143.0,0.0,644.0,1071.0,1330.0,1718.0
27,0.0,0.0,0.0,0.0,0.0,164.0,0.0,346.0,737.0,1040.0,1397.0,1785.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,755.0,965.0,1361.0,1731.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,766.0000000000001,1090.0,1369.0,1736.0
30,0.0,0.0,0.0,0.0,0.0,0.0,264.0,468.0,807.0,1086.0,1337.0,1669.0
31,0.0,0.0,0.0,0.0,0.0,0.0,74.0,284.0,680.0,976.0,1386.0,1708.0
32,0.0,0.0,0.0,0.0,0.0,0.0,77.0,382.00000000000006,721.0,1082.9999999999998,1429.0,1709.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.99999999999994,778.0,835.0,1371.0,1757.0
34,0.0,0.0,0.0,0.0,0.0,208.0,357.0,463.0,748.0,1084.0,1314.0,1753.0
