,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
0,138.0,191.0,242.0,264.0,349.0,428.0,526.0,687.0,839.0,1056.0,1325.0,1789.0
1,134.0,180.0,231.0,312.0,357.0,477.0,538.0,652.0,894.0,1100.0,1426.0,1670.0
2,137.0,168.0,224.0,293.0,359.0,442.0,513.0,670.0,860.0,1087.0,1460.0,1791.0
3,134.0,174.0,217.0,269.0,328.0,453.0,532.0,668.0,831.0,1130.0,1372.0,1772.0
4,133.0,165.0,223.0,261.0,312.0,444.0,579.0,635.0,882.0,1137.0,1318.0,1740.0
5,149.0,142.0,218.0,304.0,342.0,452.0,549.0,685.0,795.0,1053.0,1430.0,1723.0
6,144.0,157.0,226.0,305.0,338.0,443.0,583.0,695.0,906.0,1108.0,1356.0,1783.0
7,129.0,190.0,234.0,278.0,349.0,434.0,520.0,688.0,881.0,1075.0,1353.0,1724.0
8,131.0,182.0,247.0,269.0,316.0,481.0,538.0,659.0,844.0,1147.0,1360.0,1784.0
9,129.0,178.0,212.0,253.0,329.0,447.0,563.0,665.0,846.0,1108.0,1358.0,1714.0
10,137.0,165.0,215.0,262.0,352.0,440.0,533.0,702.0,851.0,1072.0,1404.0,1711.0
11,145.0,187.0,245.0,296.0,360.0,426.0,558.0,664.0,878.0,1137.0,1400.0,1737.0
12,156.0,178.0,223.0,274.0,313.0,423.0,522.0,678.0,911.0,1131.0,1346.0,1768.0
13,119.0,182.0,208.0,289.0,330.0,430.0,579.0,673.0,829.0,1073.0,1356.0,1854.0
14,140.0,170.0,210.0,288.0,376.0,421.0,515.0,642.0,845.0,1098.0,1354.0,1730.0
15,121.0,169.0,201.0,289.0,316.0,425.0,553.0,716.0,871.0,1179.0,1348.0,1688.0
16,145.0,175.0,216.0,268.0,356.0,439.0,557.0,704.0,879.0,1067.0,1373.0,1652.0
17,141.0,192.0,216.0,252.0,313.0,463.0,526.0,735.0,854.0,1025.0,1463.0,1784.0
18,125.0,169.0,241.0,329.0,328.0,485.0,550.0,668.0,837.0,1162.0,1446.0,1717.0
19,143.0,166.0,218.0,285.0,351.0,426.0,545.0,693.0,898.0,1057.0,1391.0,1714.0
20,135.0,161.0,234.0,249.0,331.0,417.0,589.0,733.0,809.0,1072.0,1419.0,1731.0
21,132.0,184.0,192.0,274.0,340.0,418.0,519.0,649.0,891.0,1114.0,1392.0,1692.0
22,142.0,154.0,226.0,288.0,338.0,431.0,558.0,656.0,849.0,1085.0,1396.0,1677.0
23,143.0,171.0,220.0,280.0,356.0,444.0,511.0,719.0,867.0,1022.0,1353.0,1800.0
24,135.0,191.0,208.0,278.0,366.0,431.0,597.0,695.0,834.0,1112.0,1369.0,1724.0
25,146.0,191.0,231.0,298.0,323.0,415.0,541.0,667.0,861.0,1066.0,1431.0,1716.0
26,122.0,178.0,266.0,272.0,329.0,468.0,525.0,732.0,863.0,1076.0,1349.0,1719.0
27,129.0,167.0,204.0,282.0,360.0,438.0,503.0,653.0,866.0,1053.0,1408.0,1785.0
28,133.0,180.0,202.0,268.0,366.0,417.0,537.0,671.0,841.0,1075.0,1363.0,1735.0
29,118.0,177.0,224.0,280.0,353.0,438.0,561.0,715.0,859.0,1099.0,1373.0,1736.0
30,135.0,182.0,213.0,291.0,353.0,456.0,563.0,633.0,907.0,1124.0,1343.0,1670.0
31,151.0,176.0,218.0,241.0,317.0,434.0,573.0,736.0,834.0,1084.0,1388.0,1710.0
32,131.0,173.0,200.0,298.0,338.0,449.0,557.0,709.0,846.0,1117.0,1432.0,1709.0
33,131.0,168.0,219.0,251.0,331.0,402.0,570.0,684.0,834.0,1081.0,1375.0,1757.0
34,137.0,177.0,201.0,274.0,384.0,416.0,523.0,686.0,841.0,1091.0,1319.0,1754.0
35,132.0,187.0,213.0,272.0,338.0,448.0,543.0,633.0,867.0,1108.0,1388.0,1716.0
36,130.0,189.0,235.0,244.0,316.0,409.0,548.0,687.0,932.0,1112.0,1417.0,1765.0
37,164.0,155.0,230.0,280.0,331.0,450.0,527.0,683.0,841.0,1065.0,1356.0,1741.0
38,133.0,179.0,215.0,290.0,337.0,391.0,539.0,639.0,825.0,1129.0,1393.0,1778.0
39,127.0,169.0,247.0,264.0,308.0,463.0,538.0,659.0,843.0,1132.0,1380.0,1719.0
40,131.0,195.0,216.0,265.0,366.0,412.0,561.0,705.0,892.0,1073.0,1365.0,1731.0
41,143.0,151.0,225.0,250.0,364.0,442.0,599.0,684.0,829.0,1035.0,1326.0,1767.0
42,139.0,160.0,224.0,283.0,356.0,464.0,566.0,666.0,894.0,1058.0,1360.0,1814.0
43,128.0,159.0,209.0,275.0,347.0,460.0,569.0,662.0,841.0,1146.0,1382.0,1772.0
44,135.0,142.0,232.0,263.0,345.0,494.0,556.0,651.0,879.0,1106.0,1339.0,1734.0
45,160.0,158.0,205.0,243.0,366.0,419.0,547.0,685.0,892.0,1117.0,1367.0,1700.0
46,149.0,161.0,223.0,279.0,347.0,445.0,549.0,700.0,845.0,1049.0,1417.0,1781.0
47,149.0,171.0,214.0,248.0,333.0,468.0,549.0,685.0,901.0,1135.0,1398.0,1738.0
48,122.0,152.0,200.0,272.0,331.0,461.0,538.0,685.0,846.0,1121.0,1326.0,1769.0
49,136.0,171.0,222.0,276.0,343.0,438.0,571.0,723.0,892.0,1127.0,1371.0,1726.0
50,134.0,176.0,196.0,307.0,346.0,404.0,558.0,720.0,896.0,1107.0,1420.0,1742.0
51,134.0,180.0,197.0,264.0,319.0,457.0,547.0,703.0,933.0,1017.0,1342.0,1691.0
52,121.0,194.0,197.0,268.0,368.0,452.0,530.0,684.0,907.0,1110.0,1357.0,1713.0
53,133.0,162.0,219.0,260.0,333.0,441.0,574.0,729.0,851.0,1077.0,1403.0,1745.0
54,121.0,170.0,194.0,261.0,347.0,434.0,541.0,650.0,833.0,1068.0,1357.0,1705.0
55,129.0,171.0,222.0,285.0,328.0,449.0,589.0,700.0,854.0,1054.0,1392.0,1776.0
56,146.0,163.0,233.0,259.0,345.0,438.0,563.0,642.0,875.0,1086.0,1377.0,1788.0
57,123.0,168.0,214.0,273.0,328.0,418.0,557.0,695.0,860.0,1112.0,1341.0,1749.0
58,140.0,150.0,237.0,277.0,332.0,439.0,541.0,730.0,866.0,1141.0,1375.0,1699.0
