,type0,type1,type2,type3
0,,205.0,,144.0
1,,168.0,,52.0
2,,,,201.0
3,454.0,,,349.0
4,88.0,,,
5,,377.0,,162.0
6,,,,38.0
7,,995.0,,
8,,,,70.0
9,1102.0,,,110.0
10,,,,78.0
11,113.0,359.0,,98.0
12,,,,46.0
13,537.0,,,188.0
14,,,,32.0
15,,,,160.0
16,,,,
17,,,,119.0
18,,,,103.0
19,,133.0,,92.0
20,,,,105.0
21,,,,158.0
22,,144.0,,98.0
23,,,,187.0
24,41.0,547.0,,124.0
25,1022.0,,,
26,,,,267.0
27,272.0,,,105.0
28,,,,131.0
29,369.0,,,45.0
30,453.0,,,55.0
31,,,,68.0
32,,,,79.0
33,,,,47.0
34,147.0,,,91.0
35,,154.0,,43.0
36,88.0,475.0,,134.0
37,,,,73.0
38,140.0,,,24.0
39,,,,
40,,,,186.0
41,,455.0,,35.0
42,,195.0,,
43,,,,
44,,,,117.0
45,,200.0,,46.0
46,,,,109.0
47,,,,31.0
48,,,,
49,749.0,,,100.0
50,,,,
51,,,,145.0
52,,,,91.0
53,,,,56.0
54,508.0,,,71.0
55,,870.0,,188.0
56,,,,83.0
57,,,,90.0
58,,143.0,,128.0
59,,,,
60,,363.0,,81.0
61,,244.0,,
62,245.0,219.0,,21.0
63,234.0,,,124.0
64,,,,52.0
65,,86.0,,95.0
66,124.0,,,76.0
67,,,,74.0
68,62.0,,,97.0
69,,63.0,,53.0
70,,,,221.0
71,,,,
72,,,,98.0
73,,772.0,,
74,,606.0,,62.0
75,624.0,,,83.0
76,,,,71.0
77,,,,127.0
78,,,,86.0
79,,130.0,,124.0
80,,,,58.0
81,,,,
82,,,,97.0
83,,245.0,,115.0
84,,,,
85,121.0,40.0,,176.0
86,,,,33.0
87,,,,111.0
88,,,,129.0
89,,,,143.0
90,,,,90.0
91,,130.0,,
92,,619.0,,54.0
93,92.0,,,155.0
94,,,,189.0
95,,,,148.0
96,,,,113.0
97,,,,173.0
98,,202.0,,187.0
99,,,,
100,,,,66.0
101,,,,128.0
102,,,,83.0
103,,,,44.0
104,,,,
105,,,,152.0
106,,246.0,,84.0
107,,124.0,,118.0
108,,,,138.0
109,,,,54.0
110,123.0,,,131.0
111,,,,81.0
112,,,,111.0
113,645.0,,,50.0
114,,,,63.0
115,,,,62.0
116,141.0,124.0,,161.0
117,,104.0,,46.0
118,416.0,259.0,,61.0
119,,,,39.0
120,,,,102.0
121,36.0,417.0,,
122,333.0,,,98.0
123,,,,
124,,,,192.0
125,,,,
126,,,,301.0
127,,,,51.0
128,,104.0,,
129,,,,
130,,,,151.0
131,,,,170.0
132,,365.0,,33.0
133,,570.0,,66.0
134,,,,46.0
135,,,,
136,425.0,,,20.0
137,162.0,654.0,,
138,,495.0,,37.0
139,231.0,,,94.0
140,622.0,235.0,,52.0
141,,,,50.0
142,,557.0,,209.0
143,,,,81.0
144,80.0,312.0,,270.0
145,,,,
146,,,,49.0
147,,,,36.0
148,,,,123.0
149,,,,111.0
150,,515.0,,58.0
151,,,,94.0
152,,167.0,,76.0
153,,,,107.0
154,,283.0,,24.0
155,,985.0,,199.0
156,,,,34.0
157,,,,47.0
158,901.0,,,91.0
159,,,,136.0
160,,,,66.0
161,,,,136.0
162,,,,56.0
163,753.0,110.0,,277.0
164,241.0,,,50.0
165,320.0,530.0,,78.0
166,,63.0,,144.0
167,,,,55.0
168,,,,51.0
169,,,,
170,,,,
171,417.0,,,62.0
172,,,,50.0
173,,,,121.0
174,,,,41.0
175,,,,241.0
176,,1047.0,,
177,274.0,,,76.0
178,,,,27.0
179,,,,82.0
180,,,,104.0
181,229.0,,,152.0
182,,,,224.0
183,,803.0,,25.0
184,207.0,877.0,,
185,,,,
186,,254.0,,27.0
187,,,,23.0
188,,,,58.0
189,472.0,197.0,,
190,,,,102.0
191,,232.0,,
192,,,,189.0
193,,,,
194,145.0,,,199.0
195,,288.0,,143.0
196,,193.0,,
197,,,,
198,,,,63.0
199,,,,182.0
200,,,,71.0
201,,,,58.0
202,,696.0,,
203,,71.0,,100.0
204,497.0,,,99.0
205,,111.0,,327.0
206,420.0,,,33.0
207,,,,
208,,,,156.0
209,,,,106.0
210,258.0,,,95.0
211,,,,
212,,268.0,,
213,,,,20.0
214,377.0,,,64.0
215,,364.0,,89.0
216,,,,33.0
217,,,,193.0
218,625.0,,,112.0
219,146.0,,,
220,209.0,,,129.0
221,,,,
222,,,,70.0
223,,,,
224,,,,188.0
225,551.0,454.0,,144.0
226,,204.0,,147.0
227,,,,138.0
228,,453.0,,125.0
229,,109.0,,89.0
230,,,,38.0
231,374.0,,,101.0
232,,119.0,,129.0
233,,,,146.0
234,,274.0,,123.0
235,,,,113.0
236,,,,95.0
237,,,,
238,,,,162.0
239,,219.0,,54.0
240,,,,79.0
241,341.0,,,168.0
242,,,,218.0
243,,,,79.0
244,,,,26.0
245,,,,131.0
246,130.0,,,90.0
247,,,,81.0
248,,,,161.0
249,,,,31.0
250,,,,40.0
251,,,,62.0
252,,,,28.0
253,402.0,375.0,,
254,,,,104.0
255,,339.0,,98.0
256,,,,94.0
257,,,,78.0
258,,,,
259,,342.0,,
260,,251.0,,49.0
261,,,,68.0
262,,,,93.0
263,368.0,463.0,,
264,,,,68.0
265,,,,91.0
266,,,,46.0
267,532.0,,,
268,,,,149.0
269,,,,
270,,,,
271,533.0,,,160.0
272,,,,
273,,340.0,,
274,,205.0,,
275,,,,76.0
276,,,,76.0
277,,94.0,,47.0
278,,,,
279,,,,44.0
280,,,,
281,172.0,,,69.0
282,,,,
283,,,,58.0
284,,166.0,,31.0
285,80.0,,,19.0
286,,,,
287,,525.0,,116.0
288,,,,
289,,146.0,,84.0
290,,,,119.0
291,,,,156.0
292,,,,134.0
293,,816.0,,71.0
294,,,,
295,,,,181.0
296,,,,65.0
297,,271.0,,24.0
298,,,,79.0
299,,,,
300,554.0,,,53.0
301,210.0,,,42.0
302,79.0,83.0,,298.0
303,,395.0,,
304,,,,130.0
305,,,,253.0
306,,,,107.0
307,,,,21.0
308,,,,101.0
309,58.0,,,125.0
310,,,,124.0
311,,,,
312,,,,159.0
313,,,,
314,,272.0,,123.0
315,,115.0,,40.0
316,,,,36.0
317,73.0,,,29.0
318,,,,24.0
319,,,,
320,,,,218.0
321,176.0,,,213.0
322,,,,50.0
323,555.0,,,56.0
324,,89.0,,72.0
325,,,,
326,126.0,232.0,,
327,,,,
328,,,,
329,245.0,,,198.0
330,,,,
331,,625.0,,
332,,,,186.0
333,,794.0,,
334,,134.0,,119.0
335,169.0,,,126.0
336,,,,73.0
337,815.0,,,141.0
338,,,,127.0
339,357.0,,,
340,,212.0,,83.0
341,170.0,130.0,,80.0
342,264.0,,,
343,,376.0,,56.0
344,,,,80.0
345,,,,
346,,224.0,,
347,,,,
348,,,,57.0
349,,,,
350,,,,152.0
351,,,,53.0
352,,,,73.0
353,337.0,,,
354,,,,
355,,411.0,,213.0
356,912.0,,,113.0
357,,,,221.0
358,,68.0,,48.0
359,612.0,,,195.0
360,,,,36.0
361,,,,
362,,,,87.0
363,,,,
364,35.0,54.0,,98.0
365,,,,114.0
366,,,,
367,,,,44.0
368,,288.0,,
369,,,,52.0
370,,294.0,,38.0
371,478.0,87.0,,92.0
372,,,,
373,,301.0,,90.0
374,,,,100.0
375,,,,247.0
376,526.0,,,221.0
377,,,,22.0
378,,119.0,,214.0
379,,,,46.0
380,,,,188.0
381,,,,88.0
382,,,,45.0
383,,,,88.0
384,,,,57.0
385,,,,182.0
386,323.0,,,65.0
387,,199.0,,
388,,,,186.0
