,type0,type1,type2,type3
0,,,,
1,,,,
2,,,,285.0
3,,,,402.0
4,,,,
5,,,,302.0
6,,,,
7,,,,
8,,,,268.0
9,,,,171.0
10,,,,141.0
11,,,,201.0
12,,,,
13,,,,350.0
14,,,,
15,,,,
16,,,,
17,,,,208.0
18,,,,191.0
19,,,,170.0
20,,,,170.0
21,,,,
22,,,,
23,,,,250.0
24,,,,182.0
25,,,,
26,,,,350.0
27,,,,
28,,,,281.0
29,,,,155.0
30,,,,300.0
31,,,,
32,,,,181.0
33,,,,120.0
34,,,,394.0
35,,,,
36,,,,216.0
37,,,,133.0
38,761.0,,,
39,,,,
40,,,,
41,,,,152.0
42,,,,
43,,,,
44,,,,212.0
45,,,,149.0
46,,,,160.0
47,,,,
48,,,,
49,,,,545.0
50,,,,
51,,,,218.0
52,,,,340.0
53,,,,125.0
54,,,,136.0
55,,,,523.0
56,,,,308.0
57,,,,223.0
58,,,,419.0
59,,,,
60,,,,424.0
61,,630.0,,
62,,,,103.0
63,,,,430.0
64,,,,
65,,,,145.0
66,,,,182.0
67,,,,245.0
68,,,,188.0
69,,297.0,,122.0
70,,,,268.0
71,,,,
72,,,,209.0
73,,,,
74,,,,
75,,,,
76,,,,202.0
77,,,,316.0
78,,,,300.0
79,,,,
80,,,,129.0
81,,,,
82,,,,154.0
83,,,,213.0
84,,,,
85,,,,
86,,,,
87,,,,183.0
88,,,,
89,,,,282.0
90,,,,213.0
91,,,,
92,,,,329.0
93,1047.0,,,396.0
94,,,,
95,,,,346.0
96,,,,329.0
97,,,,267.0
98,,307.0,,330.0
99,,,,
100,,,,
101,,,,192.0
102,,,,172.0
103,,,,175.0
104,,,,
105,,,,
106,,,,
107,,,,200.0
108,,,,
109,,,,
110,,,,216.0
111,,,,
112,,,,184.0
113,,,,101.0
114,,,,169.0
115,,,,515.0
116,,,,199.0
117,,,,
118,,624.0,,
119,,,,
120,,,,175.0
121,,,,
122,,,,140.0
123,,,,
124,,,,266.0
125,,,,
126,,,,353.0
127,,,,110.0
128,,,,
129,,,,
130,,,,270.0
131,,,,
132,,,,128.0
133,,770.0,,
134,,,,
135,,,,
136,,,,86.0
137,,,,
138,,624.0,,257.0
139,,,,
140,,,,156.0
141,,,,128.0
142,,,,260.0
143,,,,
144,,,,334.0
145,,,,
146,,,,233.0
147,,,,238.0
148,,,,171.0
149,,,,358.0
150,,,,143.0
151,,,,
152,,,,302.0
153,,,,211.0
154,,,,197.0
155,,,,266.0
156,,,,222.0
157,,,,149.0
158,,,,
159,,,,358.0
160,,,,358.0
161,,,,199.0
162,,,,
163,,,,349.0
164,,,,127.0
165,,,,
166,,,,317.0
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,201.0
172,,,,300.0
173,,,,219.0
174,,,,
175,,,,472.0
176,,,,
177,,,,
178,,,,119.0
179,,,,
180,,,,
