,type0,type1,type2,type3
0,3.0,136.0,3.0,83.0
1,5.0,103.0,3.0,167.0
2,5.0,42.0,3.0,627.0
3,69.0,15.0,3.0,574.0
4,123.0,3.0,3.0,8.0
5,4.0,100.0,3.0,535.0
6,35.0,4.0,4.0,135.0
7,22.0,76.0,3.0,6.0
8,6.0,26.0,3.0,899.0
9,75.0,25.0,1.0,820.0
10,46.0,11.0,3.0,648.0
11,123.0,79.0,3.0,775.0
12,43.0,16.0,3.0,127.0
13,86.0,8.0,3.0,631.0
14,37.0,2.0,2.0,176.0
15,8.0,6.0,3.0,51.0
16,3.0,2.0,3.0,18.0
17,38.0,6.0,3.0,383.0
18,12.0,8.0,3.0,706.0
19,14.0,127.0,3.0,783.0
20,9.0,40.0,4.0,329.0
21,3.0,19.0,2.0,55.0
22,3.0,75.0,3.0,87.0
23,32.0,20.0,3.0,733.0
24,105.0,105.0,3.0,250.0
25,107.0,2.0,3.0,3.0
26,21.0,23.0,1.0,227.0
27,153.0,6.0,3.0,54.0
28,7.0,41.0,3.0,742.0
29,121.0,13.0,4.0,248.0
30,122.0,45.0,2.0,570.0
31,4.0,32.0,4.0,165.0
32,23.0,46.0,3.0,559.0
33,48.0,5.0,3.0,377.0
34,73.0,5.0,1.0,214.0
35,9.0,148.0,4.0,110.0
36,61.0,61.0,3.0,278.0
37,4.0,11.0,3.0,729.0
38,206.0,12.0,3.0,116.0
39,5.0,7.0,3.0,38.0
40,3.0,6.0,2.0,66.0
41,20.0,139.0,3.0,419.0
42,3.0,138.0,3.0,3.0
43,24.0,37.0,3.0,3.0
44,33.0,3.0,3.0,372.0
45,4.0,60.0,3.0,731.0
46,4.0,2.0,4.0,425.0
47,2.0,12.0,4.0,93.0
48,4.0,13.0,2.0,1.0
49,53.0,36.0,3.0,611.0
50,3.0,3.0,5.0,15.0
51,4.0,12.0,4.0,377.0
52,37.0,3.0,3.0,387.0
53,24.0,8.0,4.0,232.0
54,128.0,5.0,4.0,699.0
55,4.0,61.0,3.0,493.0
56,3.0,3.0,2.0,854.0
57,1.0,50.0,3.0,539.0
58,7.0,133.0,3.0,391.0
59,15.0,1.0,4.0,12.0
60,36.0,54.0,4.0,303.0
61,26.0,223.0,3.0,1.0
62,64.0,59.0,3.0,555.0
63,115.0,5.0,3.0,896.0
64,45.0,3.0,3.0,134.0
65,6.0,67.0,3.0,918.0
66,61.0,10.0,2.0,202.0
67,9.0,4.0,2.0,398.0
68,103.0,3.0,3.0,559.0
69,7.0,232.0,4.0,554.0
70,5.0,9.0,5.0,726.0
71,21.0,3.0,5.0,19.0
72,28.0,10.0,2.0,470.0
73,44.0,108.0,4.0,5.0
74,38.0,173.0,4.0,139.0
75,58.0,5.0,1.0,189.0
76,14.0,9.0,3.0,772.0
77,6.0,6.0,3.0,243.0
78,12.0,39.0,3.0,448.0
79,6.0,134.0,4.0,191.0
80,35.0,3.0,4.0,507.0
81,7.0,7.0,3.0,49.0
82,29.0,26.0,4.0,622.0
83,4.0,82.0,4.0,641.0
84,10.0,37.0,4.0,4.0
85,99.0,78.0,3.0,179.0
86,6.0,5.0,3.0,62.0
87,11.0,16.0,4.0,291.0
88,13.0,47.0,4.0,54.0
89,38.0,5.0,3.0,367.0
90,4.0,6.0,4.0,330.0
91,22.0,89.0,3.0,10.0
92,5.0,77.0,3.0,338.0
93,305.0,46.0,2.0,671.0
94,3.0,2.0,4.0,72.0
95,3.0,4.0,3.0,316.0
96,41.0,20.0,3.0,242.0
97,42.0,15.0,3.0,603.0
98,20.0,287.0,4.0,278.0
99,5.0,2.0,4.0,22.0
100,18.0,2.0,3.0,119.0
101,4.0,33.0,3.0,209.0
102,31.0,5.0,3.0,326.0
103,40.0,4.0,5.0,836.0
104,2.0,4.0,3.0,6.0
105,3.0,36.0,4.0,172.0
106,3.0,52.0,4.0,123.0
107,41.0,70.0,4.0,207.0
108,4.0,16.0,3.0,51.0
109,3.0,41.0,4.0,63.0
110,55.0,32.0,3.0,560.0
111,42.0,16.0,4.0,195.0
112,14.0,5.0,4.0,413.0
113,65.0,4.0,3.0,902.0
114,4.0,19.0,3.0,203.0
115,13.0,3.0,3.0,268.0
116,53.0,137.0,3.0,310.0
117,10.0,108.0,3.0,146.0
118,59.0,201.0,3.0,64.0
119,15.0,3.0,3.0,75.0
120,3.0,5.0,3.0,349.0
121,174.0,123.0,4.0,48.0
122,64.0,15.0,2.0,307.0
123,7.0,27.0,4.0,18.0
124,40.0,5.0,4.0,549.0
125,6.0,3.0,3.0,8.0
126,9.0,4.0,3.0,201.0
127,50.0,3.0,2.0,351.0
128,2.0,142.0,4.0,41.0
129,12.0,29.0,3.0,4.0
130,13.0,6.0,4.0,501.0
131,5.0,24.0,3.0,75.0
132,10.0,59.0,3.0,315.0
133,7.0,211.0,4.0,128.0
134,3.0,5.0,1.0,56.0
135,19.0,7.0,3.0,39.0
136,54.0,10.0,2.0,225.0
137,53.0,118.0,3.0,40.0
138,27.0,205.0,4.0,265.0
139,68.0,10.0,4.0,165.0
140,70.0,62.0,4.0,689.0
141,6.0,7.0,4.0,435.0
142,8.0,64.0,3.0,478.0
143,2.0,41.0,4.0,96.0
144,56.0,70.0,3.0,239.0
145,4.0,12.0,3.0,3.0
146,1.0,30.0,3.0,361.0
147,3.0,20.0,4.0,814.0
148,24.0,19.0,2.0,523.0
149,21.0,22.0,4.0,407.0
150,37.0,69.0,4.0,226.0
151,6.0,4.0,3.0,148.0
152,4.0,112.0,3.0,402.0
153,4.0,6.0,2.0,772.0
154,29.0,63.0,4.0,639.0
155,4.0,77.0,4.0,325.0
156,30.0,4.0,4.0,364.0
157,23.0,50.0,4.0,950.0
158,56.0,1.0,2.0,67.0
159,11.0,4.0,3.0,264.0
160,2.0,33.0,3.0,439.0
161,2.0,4.0,2.0,290.0
162,1.0,3.0,3.0,182.0
163,110.0,76.0,3.0,470.0
164,80.0,3.0,5.0,368.0
165,82.0,115.0,2.0,147.0
166,31.0,190.0,3.0,851.0
167,5.0,21.0,4.0,138.0
168,4.0,6.0,2.0,63.0
169,3.0,6.0,4.0,9.0
170,2.0,3.0,5.0,6.0
171,134.0,41.0,3.0,340.0
172,5.0,3.0,3.0,634.0
173,4.0,3.0,3.0,464.0
174,4.0,27.0,3.0,194.0
175,15.0,10.0,3.0,266.0
176,2.0,60.0,3.0,50.0
177,72.0,42.0,2.0,178.0
178,28.0,39.0,3.0,231.0
179,39.0,3.0,3.0,88.0
180,2.0,20.0,3.0,51.0
181,77.0,5.0,3.0,443.0
182,27.0,10.0,3.0,884.0
183,37.0,235.0,2.0,395.0
184,195.0,94.0,4.0,8.0
185,5.0,4.0,3.0,34.0
186,15.0,184.0,3.0,632.0
187,3.0,1.0,4.0,623.0
188,47.0,12.0,4.0,146.0
189,69.0,90.0,3.0,32.0
190,37.0,3.0,3.0,123.0
191,8.0,164.0,2.0,1.0
192,3.0,16.0,5.0,69.0
193,4.0,23.0,3.0,2.0
194,313.0,9.0,1.0,807.0
195,40.0,132.0,4.0,437.0
196,26.0,146.0,1.0,26.0
197,1.0,6.0,3.0,4.0
198,1.0,4.0,3.0,202.0
199,4.0,16.0,4.0,68.0
200,9.0,47.0,3.0,57.0
201,26.0,2.0,3.0,406.0
202,18.0,56.0,7.0,42.0
203,9.0,66.0,3.0,341.0
204,238.0,27.0,4.0,153.0
205,4.0,58.0,3.0,731.0
206,89.0,17.0,3.0,66.0
207,26.0,23.0,4.0,34.0
208,17.0,6.0,3.0,799.0
209,3.0,23.0,3.0,481.0
210,84.0,23.0,3.0,362.0
211,5.0,24.0,3.0,6.0
212,2.0,119.0,3.0,3.0
213,25.0,3.0,3.0,116.0
214,103.0,4.0,3.0,829.0
215,4.0,140.0,3.0,667.0
216,3.0,6.0,3.0,374.0
217,24.0,3.0,3.0,585.0
218,185.0,37.0,3.0,584.0
219,104.0,45.0,2.0,1.0
220,68.0,5.0,2.0,488.0
221,9.0,30.0,2.0,4.0
222,31.0,25.0,3.0,358.0
223,3.0,15.0,3.0,49.0
224,2.0,26.0,4.0,434.0
225,52.0,74.0,2.0,662.0
226,22.0,88.0,3.0,292.0
227,4.0,2.0,3.0,493.0
228,23.0,65.0,4.0,458.0
229,31.0,69.0,3.0,62.0
230,19.0,4.0,3.0,441.0
231,209.0,38.0,3.0,314.0
232,7.0,116.0,2.0,791.0
233,41.0,5.0,4.0,83.0
234,50.0,142.0,3.0,206.0
235,3.0,2.0,3.0,765.0
236,2.0,34.0,4.0,107.0
237,6.0,26.0,2.0,37.0
238,45.0,5.0,3.0,636.0
239,13.0,63.0,3.0,119.0
240,47.0,10.0,4.0,202.0
241,70.0,5.0,4.0,91.0
242,14.0,43.0,3.0,633.0
243,47.0,22.0,3.0,497.0
244,37.0,5.0,3.0,260.0
245,5.0,26.0,2.0,698.0
246,87.0,43.0,3.0,831.0
247,20.0,42.0,3.0,154.0
248,17.0,22.0,3.0,216.0
249,22.0,18.0,3.0,491.0
250,7.0,4.0,3.0,215.0
251,3.0,6.0,4.0,220.0
252,14.0,20.0,3.0,330.0
253,227.0,122.0,3.0,38.0
254,3.0,9.0,4.0,737.0
255,5.0,381.0,3.0,150.0
256,16.0,5.0,4.0,83.0
257,11.0,8.0,3.0,791.0
258,48.0,13.0,3.0,48.0
259,4.0,106.0,3.0,32.0
260,5.0,104.0,3.0,549.0
261,1.0,27.0,3.0,281.0
262,3.0,3.0,4.0,74.0
263,129.0,293.0,4.0,18.0
264,5.0,3.0,4.0,108.0
265,21.0,7.0,1.0,135.0
266,15.0,21.0,3.0,145.0
267,200.0,4.0,3.0,20.0
268,9.0,4.0,3.0,152.0
269,19.0,5.0,1.0,36.0
270,27.0,3.0,3.0,3.0
271,240.0,50.0,3.0,251.0
272,3.0,38.0,2.0,9.0
273,3.0,124.0,3.0,1.0
274,14.0,52.0,3.0,6.0
275,45.0,44.0,3.0,103.0
276,17.0,8.0,4.0,620.0
