,type0,type1,type2,type3
0,0.0,235.0,0.0,83.0
1,0.0,103.0,0.0,167.0
2,0.0,0.0,0.0,627.0
3,69.0,0.0,0.0,574.0
4,122.99999999999999,0.0,0.0,0.0
5,0.0,100.0,0.0,535.0
6,0.0,0.0,0.0,136.0
7,0.0,76.0,0.0,0.0
8,0.0,0.0,0.0,901.0
9,75.0,0.0,0.0,820.0
10,0.0,0.0,0.0,648.0
11,142.00000000000003,79.0,0.0,832.0000000000001
12,0.0,0.0,0.0,127.0
13,86.0,0.0,0.0,631.0
14,0.0,0.0,0.0,176.0
15,0.0,0.0,0.0,51.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,473.00000000000006
18,0.0,0.0,0.0,789.0
19,0.0,163.0,0.0,944.0
20,0.0,0.0,0.0,329.0
21,0.0,0.0,0.0,55.0
22,0.0,75.0,0.0,87.0
23,0.0,0.0,0.0,733.0
24,105.0,105.0,0.0,249.99999999999997
25,107.0,0.0,0.0,0.0
26,0.0,0.0,0.0,227.0
27,195.0,0.0,0.0,54.00000000000001
28,0.0,0.0,0.0,742.0
29,121.0,0.0,0.0,248.0
30,122.0,0.0,0.0,714.0
31,0.0,0.0,0.0,165.0
32,0.0,0.0,0.0,559.0
33,0.0,0.0,0.0,377.0
34,73.0,0.0,0.0,219.99999999999997
35,0.0,148.0,0.0,230.0
36,61.0,61.0,0.0,278.0
37,0.0,0.0,0.0,767.0
38,206.0,0.0,0.0,116.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,66.0
41,0.0,142.0,0.0,419.0
42,0.0,138.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,372.0
45,0.0,60.0,0.0,731.0
46,0.0,0.0,0.0,425.0
47,0.0,0.0,0.0,93.0
48,0.0,0.0,0.0,0.0
49,53.0,0.0,0.0,726.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,377.0
52,0.0,0.0,0.0,521.0000000000001
53,0.0,0.0,0.0,232.0
54,128.0,0.0,0.0,699.0
55,0.0,61.0,0.0,594.0
56,0.0,0.0,0.0,854.0
57,0.0,0.0,0.0,655.0
58,0.0,133.0,0.0,391.0
59,0.0,0.0,0.0,0.0
60,0.0,54.0,0.0,333.00000000000006
61,0.0,223.0,0.0,0.0
62,64.0,59.0,0.0,555.0
63,115.0,0.0,0.0,922.0
64,0.0,0.0,0.0,134.0
65,0.0,67.0,0.0,918.0
66,61.0,0.0,0.0,202.0
67,0.0,0.0,0.0,398.0
68,103.0,0.0,0.0,559.0
69,0.0,232.0,0.0,554.0
70,0.0,0.0,0.0,726.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,470.0
73,0.0,108.0,0.0,0.0
74,0.0,173.0,0.0,139.0
75,58.0,0.0,0.0,267.0
76,0.0,0.0,0.0,772.0
77,0.0,0.0,0.0,270.0
78,0.0,0.0,0.0,448.0
79,0.0,134.0,0.0,286.0
80,0.0,0.0,0.0,507.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,638.0
83,0.0,82.0,0.0,681.0
84,0.0,0.0,0.0,0.0
85,99.0,78.0,0.0,259.0
86,0.0,0.0,0.0,62.0
87,0.0,0.0,0.0,291.0
88,0.0,0.0,0.0,54.0
89,0.0,0.0,0.0,367.0
90,0.0,0.0,0.0,330.0
91,0.0,89.0,0.0,0.0
92,0.0,77.0,0.0,506.0
93,305.0,0.0,0.0,735.0
94,0.0,0.0,0.0,72.0
95,0.0,0.0,0.0,377.99999999999994
96,0.0,0.0,0.0,291.0
97,0.0,0.0,0.0,603.0
98,0.0,287.0,0.0,278.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,119.0
101,0.0,0.0,0.0,209.0
102,0.0,0.0,0.0,326.0
103,0.0,0.0,0.0,836.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,317.0
106,0.0,52.0,0.0,174.00000000000003
107,0.0,70.0,0.0,207.0
108,0.0,0.0,0.0,51.0
109,0.0,0.0,0.0,63.00000000000001
110,55.0,0.0,0.0,560.0
111,0.0,0.0,0.0,195.0
112,0.0,0.0,0.0,535.0
113,65.0,0.0,0.0,1086.0
114,0.0,0.0,0.0,203.0
115,0.0,0.0,0.0,360.0
116,53.0,137.0,0.0,310.0
117,0.0,108.0,0.0,146.0
118,59.0,201.0,0.0,64.0
119,0.0,0.0,0.0,75.0
120,0.0,0.0,0.0,349.0
121,174.0,123.0,0.0,0.0
122,64.0,0.0,0.0,307.0
123,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,549.0
125,0.0,0.0,0.0,0.0
126,0.0,0.0,0.0,201.0
127,0.0,0.0,0.0,351.0
128,0.0,157.0,0.0,0.0
129,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,693.0
131,0.0,0.0,0.0,75.0
132,0.0,59.0,0.0,499.0
133,0.0,211.0,0.0,128.0
134,0.0,0.0,0.0,56.0
135,0.0,0.0,0.0,0.0
136,54.0,0.0,0.0,225.0
137,53.0,118.0,0.0,0.0
138,0.0,205.0,0.0,337.00000000000006
139,68.0,0.0,0.0,170.0
140,70.0,62.0,0.0,759.0
141,0.0,0.0,0.0,435.0
142,0.0,64.0,0.0,478.0
143,0.0,0.0,0.0,96.0
144,56.0,70.0,0.0,239.0
145,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,453.0
147,0.0,0.0,0.0,822.0
148,0.0,0.0,0.0,523.0
