,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
0,240.0,13.0,19.0,102.0,17.0,348.0,13.0,239.0,67.0,96.0,205.0,680.0
1,34.0,71.0,28.0,9.0,315.0,15.0,35.0,20.0,36.0,36.0,329.0,71.0
2,43.0,20.0,58.0,21.0,33.0,14.0,10.0,47.0,236.0,419.0,181.0,201.0
3,12.0,13.0,35.0,34.0,12.0,31.0,7.0,80.0,52.0,282.0,231.0,49.0
4,22.0,28.0,18.0,9.0,55.0,9.0,21.0,24.0,67.0,108.0,145.0,
5,37.0,8.0,19.0,12.0,9.0,15.0,26.0,46.0,68.0,209.0,294.0,97.0
6,17.0,19.0,19.0,21.0,9.0,9.0,41.0,36.0,65.0,94.0,507.0,260.0
7,80.0,7.0,59.0,16.0,9.0,18.0,19.0,39.0,59.0,107.0,1197.0,227.0
8,399.0,97.0,6.0,6.0,8.0,11.0,30.0,50.0,120.0,59.0,72.0,302.0
9,24.0,34.0,197.0,85.0,38.0,24.0,42.0,37.0,134.0,184.0,272.0,93.0
10,11.0,18.0,9.0,12.0,34.0,8.0,6.0,17.0,97.0,46.0,470.0,
11,17.0,41.0,26.0,65.0,12.0,84.0,37.0,35.0,79.0,41.0,64.0,237.0
12,21.0,35.0,17.0,121.0,83.0,38.0,14.0,124.0,278.0,49.0,,525.0
13,64.0,16.0,24.0,9.0,31.0,10.0,10.0,101.0,429.0,321.0,535.0,1021.0
14,23.0,15.0,143.0,30.0,172.0,25.0,27.0,32.0,210.0,126.0,194.0,421.0
15,8.0,82.0,64.0,31.0,9.0,11.0,557.0,53.0,171.0,199.0,785.0,367.0
16,24.0,17.0,15.0,12.0,23.0,22.0,172.0,22.0,87.0,170.0,53.0,85.0
17,7.0,19.0,9.0,15.0,22.0,19.0,24.0,44.0,122.0,185.0,268.0,
18,19.0,16.0,14.0,24.0,10.0,226.0,8.0,18.0,18.0,,161.0,209.0
19,38.0,97.0,33.0,6.0,34.0,16.0,55.0,26.0,32.0,52.0,354.0,792.0
20,37.0,34.0,20.0,11.0,17.0,18.0,16.0,198.0,28.0,437.0,525.0,366.0
21,31.0,15.0,31.0,30.0,10.0,20.0,19.0,39.0,180.0,132.0,52.0,122.0
22,415.0,12.0,21.0,551.0,34.0,62.0,6.0,304.0,46.0,53.0,408.0,574.0
23,80.0,173.0,9.0,13.0,9.0,6.0,20.0,59.0,109.0,422.0,247.0,76.0
24,11.0,53.0,16.0,62.0,16.0,40.0,144.0,22.0,91.0,229.0,528.0,
25,12.0,57.0,24.0,20.0,20.0,255.0,26.0,484.0,52.0,682.0,42.0,55.0
26,161.0,342.0,46.0,35.0,8.0,14.0,14.0,40.0,142.0,47.0,65.0,89.0
27,28.0,353.0,35.0,11.0,14.0,24.0,75.0,64.0,52.0,17.0,161.0,213.0
28,63.0,267.0,56.0,10.0,10.0,9.0,27.0,33.0,70.0,683.0,86.0,470.0
29,59.0,32.0,336.0,14.0,15.0,12.0,16.0,85.0,38.0,429.0,22.0,110.0
30,82.0,249.0,33.0,30.0,21.0,23.0,33.0,38.0,37.0,381.0,157.0,47.0
31,32.0,81.0,10.0,64.0,15.0,352.0,18.0,14.0,67.0,201.0,241.0,453.0
32,20.0,11.0,6.0,6.0,15.0,210.0,14.0,66.0,30.0,70.0,95.0,118.0
33,29.0,47.0,28.0,62.0,30.0,106.0,11.0,394.0,764.0,576.0,283.0,127.0
34,30.0,29.0,15.0,10.0,8.0,8.0,105.0,30.0,120.0,419.0,229.0,115.0
35,60.0,13.0,17.0,16.0,14.0,7.0,21.0,14.0,46.0,122.0,788.0,339.0
36,77.0,39.0,35.0,34.0,15.0,5.0,70.0,50.0,41.0,46.0,847.0,
37,16.0,50.0,106.0,17.0,105.0,64.0,25.0,42.0,44.0,437.0,237.0,255.0
38,27.0,522.0,5.0,357.0,54.0,14.0,253.0,673.0,133.0,149.0,104.0,68.0
39,61.0,40.0,13.0,21.0,9.0,6.0,21.0,58.0,86.0,74.0,1030.0,164.0
40,49.0,16.0,20.0,21.0,7.0,5.0,135.0,45.0,108.0,389.0,101.0,177.0
41,30.0,18.0,48.0,441.0,10.0,54.0,191.0,312.0,184.0,142.0,339.0,388.0
42,282.0,24.0,9.0,24.0,34.0,10.0,274.0,44.0,376.0,86.0,106.0,165.0
43,91.0,13.0,29.0,26.0,7.0,64.0,64.0,130.0,132.0,112.0,141.0,162.0
44,13.0,508.0,367.0,21.0,19.0,7.0,49.0,111.0,29.0,539.0,839.0,472.0
45,40.0,49.0,19.0,14.0,18.0,58.0,84.0,36.0,98.0,283.0,158.0,156.0
46,190.0,17.0,140.0,9.0,14.0,43.0,300.0,223.0,96.0,231.0,425.0,48.0
47,89.0,22.0,10.0,12.0,6.0,41.0,36.0,59.0,46.0,,352.0,
48,132.0,32.0,21.0,28.0,9.0,12.0,87.0,15.0,95.0,887.0,362.0,480.0
49,18.0,26.0,157.0,43.0,46.0,33.0,26.0,148.0,22.0,214.0,213.0,162.0
50,272.0,39.0,68.0,17.0,8.0,16.0,36.0,65.0,57.0,108.0,291.0,357.0
51,33.0,19.0,63.0,78.0,15.0,77.0,95.0,67.0,195.0,42.0,79.0,167.0
52,285.0,14.0,66.0,11.0,22.0,10.0,32.0,822.0,25.0,31.0,145.0,191.0
53,327.0,27.0,15.0,16.0,31.0,24.0,75.0,27.0,40.0,150.0,116.0,55.0
54,85.0,50.0,76.0,8.0,12.0,215.0,80.0,46.0,36.0,89.0,447.0,46.0
55,6.0,173.0,85.0,9.0,122.0,25.0,104.0,34.0,57.0,50.0,68.0,271.0
56,32.0,10.0,24.0,15.0,39.0,64.0,32.0,18.0,78.0,257.0,1134.0,131.0
57,30.0,227.0,226.0,12.0,260.0,584.0,50.0,21.0,30.0,51.0,29.0,378.0
58,112.0,35.0,71.0,21.0,34.0,63.0,21.0,13.0,77.0,134.0,620.0,723.0
59,33.0,30.0,11.0,53.0,14.0,13.0,30.0,39.0,52.0,382.0,181.0,182.0
60,30.0,30.0,22.0,7.0,31.0,242.0,23.0,591.0,333.0,107.0,515.0,434.0
61,38.0,14.0,305.0,19.0,29.0,11.0,26.0,34.0,59.0,82.0,268.0,81.0
62,19.0,17.0,28.0,7.0,26.0,12.0,44.0,210.0,53.0,69.0,300.0,126.0
63,75.0,15.0,10.0,11.0,6.0,9.0,751.0,83.0,37.0,134.0,274.0,150.0
64,46.0,54.0,13.0,15.0,11.0,13.0,77.0,80.0,32.0,347.0,54.0,207.0
