,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
0,316.0,62.0,50.0,144.0,124.0,536.0,27.0,682.0,433.0,319.0,688.0,1147.0
1,104.0,127.0,79.0,30.0,353.0,36.0,1066.0,41.0,99.0,89.0,636.0,
2,212.0,132.0,132.0,47.0,59.0,32.0,96.0,76.0,642.0,,304.0,458.0
3,124.0,53.0,59.0,54.0,89.0,121.0,15.0,112.0,174.0,934.0,,
4,121.0,104.0,42.0,30.0,347.0,22.0,56.0,36.0,270.0,854.0,908.0,
5,132.0,93.0,94.0,29.0,33.0,28.0,238.0,214.0,117.0,848.0,,
6,92.0,69.0,71.0,40.0,34.0,26.0,64.0,127.0,129.0,449.0,,
7,182.0,110.0,135.0,44.0,34.0,62.0,33.0,223.0,101.0,211.0,,570.0
8,525.0,166.0,228.0,56.0,25.0,20.0,199.0,108.0,,135.0,,
9,77.0,137.0,255.0,172.0,73.0,570.0,166.0,1079.0,194.0,946.0,,
10,113.0,61.0,44.0,29.0,87.0,17.0,36.0,38.0,129.0,193.0,,
11,91.0,107.0,72.0,127.0,25.0,106.0,52.0,53.0,200.0,168.0,402.0,
12,136.0,57.0,58.0,178.0,111.0,51.0,48.0,250.0,346.0,704.0,,
13,113.0,76.0,63.0,28.0,44.0,35.0,62.0,397.0,459.0,1164.0,,
14,172.0,99.0,201.0,61.0,994.0,45.0,52.0,63.0,305.0,229.0,,
15,94.0,122.0,103.0,45.0,17.0,20.0,,130.0,429.0,,,
16,109.0,55.0,104.0,44.0,52.0,81.0,349.0,59.0,127.0,469.0,417.0,
17,105.0,55.0,64.0,32.0,38.0,43.0,78.0,115.0,238.0,,411.0,
18,104.0,97.0,34.0,118.0,47.0,,21.0,212.0,231.0,,1111.0,
19,103.0,413.0,122.0,25.0,42.0,27.0,143.0,70.0,,453.0,,
20,107.0,85.0,34.0,23.0,43.0,78.0,83.0,1058.0,99.0,593.0,736.0,738.0
21,362.0,67.0,64.0,50.0,24.0,47.0,30.0,724.0,484.0,1189.0,530.0,842.0
22,543.0,63.0,44.0,670.0,50.0,168.0,65.0,340.0,907.0,430.0,883.0,
23,122.0,253.0,43.0,31.0,30.0,16.0,145.0,186.0,712.0,,,758.0
24,170.0,111.0,42.0,98.0,37.0,170.0,361.0,155.0,1169.0,,,
25,76.0,237.0,55.0,56.0,75.0,281.0,46.0,685.0,190.0,,,
26,697.0,749.0,82.0,63.0,13.0,62.0,50.0,432.0,256.0,364.0,367.0,
27,96.0,439.0,137.0,104.0,35.0,55.0,434.0,1169.0,108.0,83.0,217.0,
28,290.0,937.0,85.0,60.0,37.0,34.0,48.0,147.0,549.0,870.0,887.0,
29,118.0,76.0,444.0,26.0,41.0,27.0,61.0,362.0,1187.0,1173.0,,964.0
30,155.0,395.0,121.0,48.0,32.0,48.0,49.0,48.0,107.0,,585.0,
31,68.0,157.0,39.0,217.0,31.0,402.0,461.0,45.0,122.0,,,
32,69.0,44.0,58.0,29.0,24.0,401.0,18.0,,106.0,249.0,826.0,
33,94.0,210.0,83.0,100.0,44.0,126.0,32.0,463.0,,843.0,,
34,419.0,60.0,72.0,21.0,14.0,17.0,1058.0,51.0,,487.0,690.0,
35,117.0,68.0,51.0,35.0,40.0,51.0,36.0,31.0,133.0,220.0,962.0,438.0
