,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
0,280.0,398.0,522.0,512.0,513.0,768.0,869.0,304.0,222.0,402.0,331.0,288.0
1,486.0,402.0,557.0,610.0,498.0,979.0,534.0,878.0,664.0,781.0,217.0,129.0
2,557.0,424.0,682.0,759.0,540.0,950.0,722.0,767.0,563.0,69.0,328.0,329.0
3,561.0,514.0,577.0,689.0,684.0,589.0,834.0,1130.0,540.0,435.0,54.0,69.0
4,481.0,443.0,551.0,538.0,382.0,969.0,856.0,841.0,735.0,685.0,248.0,32.0
5,449.0,500.0,515.0,438.0,734.0,575.0,646.0,744.0,217.0,286.0,92.0,66.0
6,408.0,497.0,519.0,480.0,658.0,580.0,854.0,614.0,604.0,600.0,128.0,161.0
7,479.0,480.0,389.0,718.0,505.0,707.0,925.0,609.0,729.0,565.0,59.0,601.0
8,515.0,283.0,379.0,723.0,708.0,878.0,690.0,603.0,163.0,280.0,165.0,109.0
9,359.0,357.0,403.0,621.0,762.0,269.0,786.0,324.0,745.0,396.0,98.0,119.0
10,427.0,482.0,619.0,760.0,786.0,716.0,950.0,851.0,613.0,284.0,73.0,24.0
11,397.0,544.0,588.0,696.0,449.0,705.0,871.0,880.0,316.0,712.0,212.0,112.0
12,447.0,485.0,462.0,444.0,619.0,553.0,840.0,408.0,307.0,263.0,24.0,162.0
13,406.0,369.0,571.0,523.0,745.0,830.0,596.0,605.0,608.0,212.0,125.0,83.0
14,451.0,472.0,263.0,460.0,610.0,770.0,1053.0,713.0,578.0,838.0,149.0,71.0
15,319.0,524.0,426.0,694.0,1011.0,657.0,96.0,731.0,390.0,193.0,73.0,117.0
16,443.0,445.0,425.0,478.0,856.0,524.0,599.0,524.0,845.0,463.0,258.0,106.0
17,302.0,492.0,486.0,644.0,558.0,1004.0,730.0,603.0,1274.0,131.0,253.0,50.0
18,439.0,278.0,491.0,735.0,679.0,139.0,944.0,374.0,676.0,41.0,283.0,160.0
19,340.0,556.0,498.0,742.0,765.0,981.0,565.0,1108.0,169.0,606.0,172.0,80.0
20,436.0,379.0,506.0,429.0,683.0,763.0,483.0,522.0,714.0,417.0,246.0,213.0
21,380.0,446.0,435.0,587.0,607.0,549.0,977.0,631.0,540.0,210.0,374.0,328.0
22,427.0,549.0,500.0,702.0,495.0,510.0,793.0,806.0,702.0,361.0,325.0,134.0
23,387.0,323.0,519.0,372.0,865.0,1184.0,343.0,756.0,610.0,191.0,110.0,206.0
24,394.0,460.0,371.0,699.0,642.0,604.0,262.0,442.0,232.0,174.0,187.0,21.0
25,481.0,465.0,549.0,394.0,574.0,771.0,926.0,303.0,1047.0,144.0,138.0,154.0
26,379.0,338.0,507.0,499.0,602.0,753.0,683.0,511.0,844.0,259.0,586.0,84.0
27,444.0,509.0,523.0,573.0,901.0,744.0,356.0,308.0,792.0,310.0,637.0,98.0
28,490.0,286.0,536.0,558.0,884.0,802.0,754.0,872.0,896.0,253.0,323.0,104.0
29,338.0,643.0,285.0,536.0,570.0,686.0,940.0,801.0,203.0,257.0,181.0,318.0
30,441.0,474.0,540.0,645.0,840.0,734.0,632.0,671.0,552.0,108.0,363.0,157.0
31,565.0,316.0,474.0,751.0,615.0,547.0,696.0,932.0,1039.0,98.0,130.0,170.0
32,463.0,518.0,392.0,520.0,642.0,680.0,820.0,190.0,394.0,314.0,322.0,200.0
33,332.0,499.0,504.0,554.0,569.0,845.0,941.0,677.0,161.0,403.0,173.0,117.0
34,319.0,452.0,473.0,516.0,660.0,666.0,472.0,835.0,111.0,1169.0,246.0,197.0
35,266.0,518.0,366.0,454.0,772.0,803.0,744.0,1087.0,456.0,322.0,533.0,365.0
36,365.0,528.0,451.0,689.0,584.0,568.0,738.0,800.0,938.0,934.0,243.0,50.0
37,419.0,447.0,484.0,552.0,568.0,694.0,880.0,974.0,724.0,228.0,179.0,92.0
38,416.0,401.0,435.0,674.0,543.0,837.0,677.0,184.0,719.0,471.0,413.0,100.0
39,440.0,484.0,433.0,739.0,738.0,571.0,748.0,1054.0,691.0,424.0,177.0,314.0
40,306.0,315.0,447.0,467.0,630.0,780.0,694.0,478.0,584.0,253.0,203.0,187.0
41,398.0,458.0,588.0,446.0,884.0,859.0,617.0,606.0,303.0,684.0,372.0,82.0
42,408.0,435.0,453.0,616.0,544.0,592.0,457.0,584.0,172.0,229.0,125.0,237.0
43,344.0,505.0,556.0,638.0,479.0,861.0,706.0,447.0,471.0,299.0,183.0,669.0
44,476.0,428.0,667.0,794.0,663.0,987.0,901.0,695.0,973.0,436.0,247.0,91.0
45,377.0,355.0,496.0,510.0,585.0,370.0,818.0,941.0,518.0,311.0,264.0,136.0
46,429.0,539.0,412.0,680.0,520.0,662.0,273.0,204.0,618.0,85.0,258.0,442.0
47,357.0,499.0,443.0,450.0,658.0,803.0,831.0,952.0,651.0,50.0,60.0,44.0
48,467.0,492.0,369.0,542.0,850.0,608.0,532.0,437.0,226.0,121.0,147.0,62.0
49,534.0,528.0,487.0,693.0,637.0,596.0,726.0,344.0,783.0,150.0,395.0,180.0
50,373.0,512.0,456.0,457.0,706.0,571.0,431.0,90.0,673.0,278.0,266.0,285.0
51,378.0,393.0,512.0,750.0,645.0,679.0,947.0,949.0,361.0,485.0,245.0,95.0
52,373.0,539.0,597.0,375.0,410.0,556.0,1056.0,122.0,365.0,298.0,227.0,148.0
53,404.0,400.0,437.0,576.0,646.0,647.0,740.0,492.0,547.0,416.0,345.0,83.0
54,403.0,345.0,487.0,598.0,956.0,487.0,344.0,803.0,689.0,619.0,169.0,277.0
55,358.0,322.0,464.0,658.0,659.0,881.0,564.0,923.0,202.0,305.0,401.0,304.0
56,445.0,458.0,383.0,671.0,813.0,626.0,939.0,510.0,828.0,827.0,101.0,203.0
57,485.0,184.0,103.0,665.0,740.0,140.0,903.0,1019.0,248.0,619.0,250.0,56.0
58,397.0,486.0,497.0,618.0,742.0,678.0,779.0,903.0,739.0,234.0,120.0,453.0
59,514.0,374.0,369.0,538.0,408.0,807.0,1053.0,726.0,568.0,391.0,105.0,269.0
60,383.0,499.0,588.0,577.0,859.0,801.0,756.0,942.0,543.0,273.0,76.0,114.0
61,412.0,628.0,440.0,688.0,554.0,813.0,569.0,655.0,655.0,358.0,122.0,134.0
62,517.0,470.0,458.0,648.0,823.0,781.0,462.0,500.0,759.0,883.0,278.0,102.0
63,409.0,415.0,426.0,413.0,541.0,596.0,572.0,1162.0,161.0,736.0,184.0,111.0
64,374.0,491.0,545.0,549.0,535.0,631.0,787.0,477.0,629.0,403.0,153.0,305.0
65,439.0,435.0,620.0,473.0,511.0,822.0,420.0,352.0,253.0,383.0,228.0,172.0
66,502.0,546.0,510.0,462.0,814.0,716.0,584.0,791.0,541.0,116.0,347.0,214.0
67,494.0,524.0,417.0,500.0,258.0,705.0,866.0,793.0,242.0,536.0,159.0,289.0
68,535.0,430.0,498.0,684.0,704.0,528.0,1092.0,604.0,702.0,344.0,196.0,251.0
69,270.0,411.0,501.0,664.0,414.0,569.0,107.0,848.0,928.0,179.0,194.0,372.0
70,420.0,481.0,469.0,412.0,570.0,563.0,657.0,906.0,659.0,45.0,238.0,127.0
71,407.0,300.0,543.0,702.0,667.0,739.0,275.0,1150.0,1155.0,878.0,121.0,242.0
72,482.0,425.0,183.0,503.0,636.0,645.0,588.0,773.0,276.0,367.0,270.0,132.0
73,506.0,442.0,537.0,686.0,726.0,592.0,662.0,380.0,758.0,249.0,134.0,70.0
74,415.0,606.0,311.0,570.0,630.0,712.0,762.0,627.0,479.0,145.0,313.0,78.0
75,526.0,506.0,338.0,341.0,653.0,591.0,635.0,171.0,945.0,295.0,197.0,265.0
76,448.0,386.0,392.0,526.0,664.0,768.0,1152.0,534.0,480.0,139.0,296.0,78.0
77,468.0,347.0,567.0,602.0,543.0,806.0,443.0,200.0,981.0,224.0,155.0,140.0
78,539.0,504.0,324.0,619.0,747.0,606.0,935.0,480.0,551.0,449.0,373.0,173.0
79,509.0,464.0,472.0,628.0,579.0,799.0,532.0,507.0,589.0,398.0,460.0,116.0
80,418.0,339.0,497.0,483.0,680.0,832.0,630.0,1145.0,375.0,158.0,138.0,346.0
81,532.0,475.0,325.0,515.0,725.0,250.0,825.0,544.0,524.0,147.0,48.0,140.0
82,417.0,519.0,417.0,505.0,831.0,594.0,200.0,902.0,893.0,493.0,193.0,305.0
83,500.0,427.0,424.0,729.0,627.0,830.0,788.0,1148.0,568.0,655.0,275.0,69.0
84,489.0,481.0,595.0,674.0,786.0,405.0,962.0,502.0,727.0,226.0,295.0,240.0
85,357.0,407.0,546.0,462.0,476.0,463.0,682.0,659.0,139.0,68.0,34.0,157.0
86,481.0,369.0,538.0,517.0,338.0,649.0,709.0,586.0,792.0,109.0,112.0,72.0
87,357.0,489.0,317.0,548.0,809.0,596.0,944.0,493.0,463.0,229.0,359.0,80.0
88,374.0,380.0,318.0,200.0,868.0,866.0,143.0,1260.0,409.0,165.0,146.0,158.0
89,370.0,311.0,594.0,579.0,733.0,722.0,739.0,872.0,480.0,270.0,266.0,233.0
90,395.0,355.0,559.0,583.0,803.0,438.0,940.0,313.0,497.0,202.0,316.0,90.0
91,422.0,592.0,506.0,608.0,610.0,711.0,436.0,731.0,760.0,52.0,142.0,125.0
92,495.0,474.0,432.0,559.0,417.0,620.0,751.0,289.0,762.0,634.0,146.0,305.0
93,325.0,323.0,636.0,385.0,657.0,649.0,685.0,339.0,361.0,594.0,84.0,72.0
94,227.0,389.0,419.0,639.0,714.0,708.0,647.0,805.0,464.0,538.0,291.0,188.0
95,496.0,501.0,218.0,563.0,751.0,947.0,744.0,500.0,577.0,358.0,124.0,79.0
96,484.0,420.0,560.0,585.0,162.0,581.0,573.0,387.0,157.0,251.0,136.0,169.0
97,522.0,538.0,549.0,735.0,554.0,476.0,665.0,652.0,902.0,643.0,142.0,118.0
98,412.0,359.0,585.0,599.0,725.0,556.0,809.0,751.0,571.0,122.0,79.0,147.0
99,384.0,352.0,553.0,783.0,799.0,783.0,95.0,329.0,864.0,582.0,6.0,107.0
100,290.0,513.0,448.0,677.0,413.0,674.0,735.0,587.0,996.0,75.0,574.0,328.0
101,369.0,500.0,248.0,565.0,716.0,786.0,789.0,151.0,829.0,658.0,256.0,121.0
102,546.0,469.0,526.0,660.0,503.0,430.0,890.0,614.0,900.0,483.0,265.0,81.0
103,376.0,485.0,483.0,617.0,738.0,283.0,542.0,474.0,842.0,290.0,391.0,104.0
104,413.0,478.0,687.0,488.0,510.0,748.0,300.0,848.0,452.0,570.0,94.0,294.0
105,511.0,382.0,526.0,553.0,721.0,678.0,912.0,278.0,944.0,719.0,258.0,100.0
106,437.0,416.0,587.0,390.0,725.0,519.0,638.0,169.0,596.0,181.0,272.0,179.0
107,490.0,374.0,597.0,609.0,636.0,785.0,653.0,457.0,523.0,72.0,432.0,106.0
108,471.0,504.0,557.0,666.0,662.0,912.0,600.0,1160.0,480.0,162.0,701.0,113.0
109,427.0,416.0,397.0,343.0,720.0,591.0,582.0,266.0,597.0,1287.0,73.0,124.0
110,418.0,539.0,407.0,656.0,883.0,738.0,643.0,899.0,412.0,1186.0,338.0,257.0
111,383.0,435.0,531.0,817.0,590.0,523.0,193.0,137.0,330.0,364.0,248.0,110.0
112,462.0,522.0,437.0,466.0,613.0,633.0,726.0,579.0,530.0,406.0,90.0,238.0
113,380.0,497.0,274.0,486.0,652.0,699.0,639.0,315.0,820.0,297.0,447.0,146.0
114,338.0,528.0,466.0,809.0,565.0,831.0,637.0,737.0,140.0,438.0,71.0,249.0
115,46.0,484.0,560.0,796.0,513.0,633.0,753.0,991.0,543.0,544.0,315.0,154.0
116,424.0,381.0,629.0,704.0,667.0,396.0,525.0,1296.0,943.0,274.0,324.0,76.0
117,549.0,418.0,380.0,535.0,745.0,756.0,901.0,862.0,526.0,42.0,409.0,112.0
118,350.0,487.0,587.0,549.0,658.0,788.0,676.0,742.0,257.0,531.0,119.0,120.0
119,472.0,243.0,593.0,582.0,808.0,1006.0,768.0,535.0,744.0,418.0,308.0,70.0
120,492.0,500.0,488.0,373.0,679.0,543.0,1130.0,397.0,1113.0,135.0,278.0,297.0
121,292.0,373.0,576.0,381.0,599.0,463.0,650.0,441.0,620.0,466.0,403.0,297.0
122,401.0,349.0,571.0,756.0,420.0,700.0,575.0,674.0,474.0,276.0,129.0,288.0
123,477.0,430.0,306.0,676.0,833.0,148.0,695.0,966.0,732.0,332.0,96.0,259.0
124,321.0,520.0,71.0,438.0,787.0,672.0,894.0,999.0,773.0,587.0,37.0,160.0
125,562.0,481.0,507.0,573.0,652.0,619.0,910.0,997.0,340.0,397.0,87.0,193.0
126,482.0,447.0,463.0,512.0,479.0,797.0,678.0,827.0,599.0,1096.0,248.0,194.0
127,470.0,398.0,285.0,605.0,558.0,1036.0,658.0,503.0,361.0,436.0,141.0,110.0
128,305.0,539.0,531.0,571.0,512.0,618.0,772.0,38.0,468.0,127.0,292.0,228.0
129,530.0,351.0,577.0,624.0,862.0,652.0,726.0,703.0,723.0,287.0,131.0,361.0
130,439.0,225.0,484.0,363.0,462.0,779.0,931.0,1048.0,653.0,678.0,138.0,70.0
131,491.0,417.0,456.0,552.0,649.0,474.0,593.0,489.0,820.0,234.0,132.0,198.0
132,424.0,483.0,462.0,775.0,575.0,618.0,936.0,889.0,724.0,407.0,228.0,75.0
133,490.0,454.0,447.0,657.0,649.0,830.0,752.0,679.0,452.0,478.0,133.0,232.0
134,483.0,462.0,499.0,567.0,474.0,770.0,1081.0,678.0,336.0,246.0,151.0,271.0
135,441.0,367.0,453.0,457.0,561.0,582.0,547.0,1099.0,1182.0,514.0,29.0,253.0
136,359.0,416.0,553.0,557.0,621.0,447.0,335.0,722.0,27.0,526.0,466.0,91.0
137,325.0,496.0,525.0,546.0,721.0,737.0,687.0,539.0,230.0,194.0,125.0,222.0
138,404.0,524.0,393.0,586.0,454.0,825.0,1105.0,323.0,649.0,374.0,121.0,147.0
139,470.0,350.0,472.0,469.0,448.0,888.0,752.0,355.0,195.0,607.0,86.0,52.0
140,392.0,407.0,562.0,655.0,475.0,761.0,676.0,729.0,494.0,223.0,685.0,302.0
141,455.0,362.0,493.0,451.0,779.0,551.0,826.0,1084.0,1015.0,64.0,282.0,69.0
142,434.0,513.0,464.0,706.0,803.0,731.0,764.0,328.0,534.0,370.0,285.0,115.0
143,351.0,361.0,514.0,666.0,831.0,776.0,867.0,324.0,551.0,250.0,280.0,232.0
144,333.0,468.0,519.0,597.0,679.0,743.0,946.0,675.0,734.0,858.0,220.0,122.0
145,415.0,311.0,470.0,500.0,659.0,808.0,735.0,707.0,745.0,709.0,277.0,167.0
146,471.0,496.0,524.0,614.0,468.0,655.0,594.0,849.0,149.0,649.0,37.0,63.0
147,459.0,422.0,557.0,508.0,585.0,627.0,872.0,715.0,482.0,298.0,394.0,207.0
148,422.0,447.0,533.0,591.0,765.0,878.0,939.0,583.0,477.0,213.0,103.0,181.0
149,291.0,505.0,166.0,727.0,435.0,598.0,816.0,892.0,852.0,328.0,329.0,184.0
150,463.0,182.0,370.0,418.0,593.0,501.0,771.0,762.0,849.0,97.0,123.0,418.0
151,449.0,430.0,572.0,601.0,458.0,827.0,1345.0,210.0,727.0,359.0,161.0,182.0
152,387.0,423.0,562.0,741.0,438.0,831.0,588.0,219.0,501.0,309.0,56.0,94.0
153,565.0,453.0,345.0,490.0,633.0,670.0,641.0,579.0,748.0,504.0,116.0,127.0
154,426.0,513.0,484.0,537.0,723.0,539.0,252.0,732.0,665.0,149.0,291.0,153.0
155,463.0,444.0,490.0,453.0,513.0,867.0,794.0,1114.0,827.0,138.0,246.0,112.0
156,306.0,496.0,614.0,555.0,679.0,822.0,374.0,558.0,453.0,621.0,82.0,180.0
157,430.0,433.0,545.0,580.0,834.0,699.0,848.0,527.0,265.0,164.0,515.0,103.0
158,462.0,436.0,485.0,560.0,794.0,721.0,766.0,76.0,323.0,303.0,47.0,235.0
159,473.0,424.0,512.0,568.0,762.0,1054.0,1258.0,39.0,662.0,253.0,242.0,26.0
160,501.0,470.0,501.0,476.0,668.0,513.0,724.0,492.0,914.0,175.0,274.0,53.0
161,389.0,457.0,517.0,626.0,609.0,802.0,886.0,202.0,704.0,610.0,168.0,105.0
162,382.0,469.0,601.0,567.0,770.0,520.0,583.0,295.0,534.0,301.0,299.0,190.0
163,471.0,523.0,413.0,706.0,696.0,603.0,826.0,245.0,284.0,198.0,318.0,144.0
164,377.0,420.0,593.0,755.0,572.0,755.0,683.0,633.0,666.0,606.0,326.0,25.0
165,449.0,388.0,601.0,626.0,644.0,443.0,247.0,484.0,532.0,125.0,568.0,160.0
166,463.0,496.0,453.0,621.0,574.0,689.0,785.0,560.0,793.0,61.0,134.0,21.0
167,404.0,349.0,473.0,685.0,591.0,413.0,744.0,546.0,723.0,277.0,220.0,119.0
168,390.0,430.0,505.0,675.0,762.0,803.0,591.0,138.0,954.0,368.0,201.0,118.0
169,363.0,482.0,543.0,593.0,628.0,906.0,664.0,427.0,647.0,507.0,83.0,217.0
170,339.0,312.0,448.0,662.0,841.0,818.0,291.0,877.0,460.0,50.0,351.0,89.0
171,396.0,453.0,487.0,716.0,798.0,348.0,561.0,683.0,1368.0,353.0,319.0,104.0
172,381.0,410.0,457.0,394.0,803.0,580.0,761.0,787.0,1014.0,365.0,178.0,89.0
173,496.0,493.0,571.0,512.0,594.0,674.0,1078.0,814.0,335.0,437.0,668.0,129.0
174,431.0,454.0,547.0,576.0,638.0,944.0,718.0,266.0,369.0,433.0,321.0,175.0
175,440.0,312.0,537.0,591.0,644.0,686.0,968.0,1016.0,925.0,100.0,160.0,100.0
176,220.0,431.0,553.0,709.0,537.0,706.0,805.0,1081.0,385.0,442.0,113.0,288.0
177,394.0,434.0,530.0,559.0,438.0,657.0,659.0,483.0,377.0,419.0,542.0,270.0
178,384.0,478.0,526.0,754.0,501.0,577.0,446.0,970.0,137.0,168.0,37.0,268.0
179,350.0,405.0,467.0,490.0,473.0,721.0,632.0,423.0,430.0,381.0,335.0,182.0
180,375.0,502.0,501.0,310.0,701.0,719.0,823.0,329.0,488.0,885.0,318.0,190.0
181,417.0,545.0,544.0,697.0,673.0,546.0,261.0,1212.0,764.0,110.0,312.0,320.0
182,484.0,473.0,455.0,722.0,565.0,623.0,863.0,688.0,1023.0,334.0,556.0,26.0
183,354.0,499.0,450.0,429.0,821.0,534.0,483.0,378.0,747.0,407.0,179.0,160.0
184,388.0,624.0,506.0,543.0,595.0,316.0,897.0,440.0,369.0,312.0,284.0,159.0
185,511.0,530.0,644.0,113.0,696.0,637.0,1003.0,750.0,587.0,537.0,154.0,372.0
186,333.0,448.0,524.0,652.0,483.0,821.0,897.0,948.0,1147.0,568.0,133.0,133.0
187,387.0,387.0,437.0,577.0,719.0,612.0,898.0,196.0,891.0,531.0,150.0,51.0
188,426.0,523.0,523.0,588.0,593.0,551.0,806.0,516.0,190.0,443.0,587.0,136.0
189,512.0,471.0,450.0,747.0,569.0,865.0,852.0,281.0,585.0,810.0,123.0,51.0
190,485.0,363.0,497.0,530.0,546.0,803.0,776.0,57.0,167.0,136.0,190.0,144.0
191,478.0,452.0,383.0,545.0,579.0,362.0,1099.0,569.0,72.0,386.0,186.0,114.0
192,428.0,561.0,529.0,636.0,738.0,792.0,642.0,1076.0,300.0,78.0,219.0,71.0
193,437.0,485.0,545.0,538.0,775.0,520.0,287.0,688.0,665.0,629.0,151.0,38.0
194,539.0,371.0,496.0,745.0,585.0,658.0,732.0,814.0,767.0,579.0,254.0,211.0
195,459.0,385.0,567.0,616.0,727.0,938.0,1006.0,323.0,621.0,78.0,212.0,412.0
196,402.0,630.0,554.0,533.0,618.0,378.0,906.0,655.0,453.0,484.0,200.0,178.0
197,482.0,446.0,457.0,553.0,607.0,571.0,526.0,461.0,557.0,337.0,229.0,183.0
198,447.0,389.0,472.0,571.0,369.0,753.0,874.0,574.0,76.0,434.0,147.0,397.0
199,395.0,604.0,465.0,606.0,786.0,603.0,644.0,1071.0,615.0,218.0,358.0,252.0
200,458.0,467.0,386.0,455.0,705.0,655.0,137.0,830.0,322.0,735.0,97.0,71.0
201,290.0,258.0,457.0,687.0,774.0,683.0,919.0,234.0,958.0,435.0,24.0,80.0
202,324.0,490.0,463.0,663.0,605.0,770.0,533.0,558.0,369.0,681.0,384.0,104.0
203,400.0,429.0,552.0,600.0,45.0,368.0,891.0,825.0,1052.0,357.0,245.0,123.0
204,573.0,457.0,479.0,649.0,723.0,512.0,637.0,825.0,886.0,335.0,181.0,107.0
205,451.0,469.0,516.0,682.0,588.0,749.0,597.0,100.0,139.0,54.0,149.0,49.0
206,432.0,432.0,610.0,462.0,693.0,610.0,815.0,956.0,139.0,526.0,25.0,146.0
207,463.0,466.0,538.0,174.0,607.0,622.0,443.0,646.0,476.0,421.0,344.0,203.0
208,354.0,556.0,562.0,677.0,883.0,547.0,942.0,406.0,402.0,174.0,187.0,326.0
209,332.0,578.0,427.0,463.0,533.0,865.0,638.0,677.0,93.0,448.0,270.0,110.0
210,470.0,313.0,461.0,709.0,644.0,642.0,505.0,786.0,249.0,922.0,100.0,225.0
211,324.0,455.0,467.0,548.0,711.0,779.0,760.0,729.0,536.0,492.0,84.0,251.0
212,418.0,235.0,408.0,297.0,611.0,739.0,1053.0,615.0,592.0,487.0,167.0,136.0
213,444.0,422.0,430.0,630.0,659.0,726.0,772.0,1462.0,177.0,321.0,28.0,127.0
214,476.0,562.0,551.0,577.0,792.0,782.0,845.0,323.0,573.0,129.0,156.0,274.0
215,511.0,540.0,520.0,554.0,675.0,860.0,794.0,484.0,85.0,568.0,18.0,83.0
216,341.0,399.0,459.0,656.0,850.0,886.0,111.0,721.0,514.0,860.0,347.0,428.0
217,449.0,482.0,427.0,848.0,294.0,551.0,526.0,107.0,432.0,158.0,171.0,204.0
218,489.0,390.0,436.0,376.0,447.0,487.0,409.0,644.0,413.0,60.0,263.0,219.0
219,434.0,385.0,421.0,575.0,217.0,936.0,636.0,951.0,687.0,824.0,262.0,81.0
220,304.0,488.0,445.0,640.0,528.0,785.0,823.0,339.0,425.0,451.0,101.0,211.0
221,384.0,425.0,469.0,627.0,737.0,848.0,687.0,895.0,418.0,92.0,374.0,227.0
222,452.0,436.0,585.0,523.0,460.0,698.0,712.0,832.0,214.0,291.0,590.0,193.0
223,325.0,476.0,532.0,661.0,521.0,817.0,610.0,445.0,549.0,238.0,303.0,100.0
224,407.0,414.0,317.0,386.0,673.0,854.0,960.0,905.0,324.0,233.0,211.0,85.0
225,458.0,522.0,555.0,799.0,626.0,613.0,1023.0,640.0,156.0,420.0,370.0,159.0
226,514.0,339.0,450.0,424.0,499.0,724.0,823.0,848.0,538.0,661.0,303.0,45.0
227,401.0,435.0,765.0,452.0,580.0,806.0,590.0,704.0,1046.0,192.0,221.0,304.0
228,492.0,479.0,501.0,680.0,585.0,769.0,796.0,351.0,857.0,72.0,175.0,130.0
229,355.0,553.0,416.0,822.0,795.0,778.0,785.0,372.0,613.0,438.0,391.0,170.0
230,491.0,414.0,504.0,599.0,734.0,877.0,956.0,1003.0,416.0,308.0,115.0,250.0
231,512.0,508.0,345.0,567.0,580.0,873.0,739.0,906.0,517.0,197.0,272.0,303.0
232,360.0,482.0,330.0,536.0,780.0,500.0,769.0,865.0,906.0,692.0,66.0,125.0
233,487.0,471.0,510.0,363.0,764.0,512.0,1009.0,354.0,923.0,559.0,235.0,312.0
234,459.0,399.0,462.0,576.0,492.0,769.0,830.0,658.0,971.0,401.0,118.0,99.0
235,543.0,138.0,515.0,576.0,582.0,663.0,555.0,984.0,234.0,139.0,445.0,82.0
236,376.0,535.0,372.0,527.0,708.0,929.0,1071.0,759.0,54.0,381.0,305.0,171.0
237,446.0,406.0,477.0,684.0,583.0,963.0,915.0,530.0,993.0,603.0,104.0,72.0
238,319.0,513.0,584.0,503.0,537.0,732.0,769.0,353.0,111.0,189.0,256.0,256.0
239,585.0,512.0,518.0,396.0,400.0,875.0,674.0,831.0,627.0,389.0,295.0,223.0
240,480.0,495.0,451.0,539.0,655.0,911.0,969.0,1081.0,389.0,568.0,178.0,315.0
241,369.0,429.0,476.0,566.0,574.0,766.0,489.0,1054.0,1133.0,522.0,232.0,93.0
242,410.0,508.0,337.0,796.0,719.0,835.0,899.0,1193.0,427.0,452.0,145.0,136.0
243,549.0,585.0,583.0,544.0,853.0,753.0,434.0,487.0,339.0,602.0,108.0,111.0
244,446.0,442.0,465.0,745.0,658.0,732.0,691.0,908.0,710.0,311.0,237.0,173.0
245,498.0,451.0,521.0,586.0,680.0,782.0,986.0,1028.0,748.0,139.0,368.0,73.0
246,409.0,476.0,526.0,588.0,513.0,899.0,760.0,366.0,355.0,167.0,249.0,155.0
247,383.0,536.0,490.0,399.0,735.0,351.0,831.0,273.0,369.0,163.0,140.0,123.0
248,417.0,409.0,629.0,430.0,195.0,825.0,363.0,449.0,453.0,79.0,106.0,94.0
249,430.0,515.0,475.0,588.0,688.0,807.0,760.0,566.0,760.0,63.0,354.0,153.0
250,379.0,434.0,308.0,589.0,733.0,606.0,446.0,937.0,493.0,357.0,181.0,259.0
251,357.0,461.0,445.0,526.0,699.0,774.0,225.0,991.0,188.0,357.0,191.0,90.0
252,509.0,435.0,532.0,502.0,732.0,897.0,471.0,478.0,523.0,223.0,456.0,251.0
253,428.0,437.0,512.0,602.0,569.0,347.0,135.0,679.0,236.0,167.0,232.0,34.0
254,553.0,479.0,528.0,553.0,502.0,697.0,831.0,271.0,186.0,540.0,117.0,243.0
255,367.0,247.0,520.0,530.0,778.0,651.0,600.0,351.0,832.0,164.0,124.0,94.0
256,337.0,577.0,458.0,642.0,614.0,785.0,466.0,1007.0,675.0,68.0,613.0,181.0
257,509.0,494.0,494.0,342.0,820.0,558.0,817.0,525.0,376.0,178.0,97.0,37.0
258,425.0,524.0,561.0,548.0,975.0,658.0,466.0,926.0,216.0,436.0,180.0,139.0
259,380.0,489.0,405.0,458.0,787.0,869.0,675.0,863.0,574.0,84.0,126.0,133.0
260,284.0,495.0,374.0,585.0,768.0,217.0,536.0,474.0,41.0,499.0,128.0,100.0
261,293.0,425.0,384.0,483.0,399.0,788.0,546.0,759.0,820.0,271.0,402.0,123.0
262,526.0,543.0,498.0,239.0,666.0,723.0,843.0,212.0,700.0,121.0,202.0,86.0
263,422.0,408.0,527.0,596.0,684.0,861.0,1015.0,638.0,386.0,103.0,45.0,83.0
264,475.0,442.0,482.0,494.0,619.0,792.0,739.0,225.0,894.0,176.0,69.0,48.0
265,347.0,417.0,431.0,621.0,851.0,875.0,841.0,770.0,594.0,206.0,338.0,295.0
266,321.0,499.0,600.0,452.0,553.0,705.0,458.0,650.0,767.0,322.0,91.0,232.0
267,496.0,491.0,486.0,570.0,740.0,725.0,492.0,972.0,327.0,578.0,77.0,533.0
