,width1_mean,width1_low,width1_high,width2_mean,width2_low,width2_high,width4_mean,width4_low,width4_high,width7_mean,width7_low,width7_high,width10_mean,width10_low,width10_high,width13_mean,width13_low,width13_high,width16_mean,width16_low,width16_high,width25_mean,width25_low,width25_high,width34_mean,width34_low,width34_high,width49_mean,width49_low,width49_high,width70_mean,width70_low,width70_high,width100_mean,width100_low,width100_high,time
0,4.494,2.0,7.0,4.438,2.0,7.0,4.39,2.0,7.0,4.322,2.0,6.0,4.608,2.0,7.0,4.418,2.0,7.0,4.23,2.0,7.0,4.264,2.0,7.0,4.532,2.0,7.0,4.356,2.0,7.0,4.34,2.0,7.0,4.384,2.0,7.0,0.0
1,4.498,2.0,7.0,4.432,2.0,7.0,4.39,2.0,7.0,4.312,2.0,6.0,4.604,2.0,7.0,4.424,2.0,7.0,4.23,2.0,7.0,4.264,2.0,7.0,4.522,2.0,7.0,4.356,2.0,7.0,4.346,2.0,7.0,4.38,2.0,7.0,0.1
2,4.506,2.0,7.0,4.424,2.0,7.0,4.384,2.0,7.0,4.316,2.0,6.0,4.592,2.0,7.0,4.424,2.0,7.0,4.232,2.0,7.0,4.264,2.0,7.0,4.526,2.0,7.0,4.36,2.0,7.0,4.342,2.0,7.0,4.384,2.0,7.0,0.2
3,4.502,2.0,7.0,4.426,2.0,7.0,4.378,2.0,7.0,4.314,2.0,6.0,4.592,2.0,7.0,4.41,2.0,7.0,4.222,2.0,7.0,4.272,2.0,7.0,4.524,2.0,7.0,4.352,2.0,7.0,4.344,2.0,7.0,4.39,2.0,7.0,0.3
4,4.494,2.0,7.0,4.426,2.0,7.0,4.38,2.0,7.0,4.322,2.0,6.0,4.596,2.0,7.0,4.414,2.0,7.0,4.224,2.0,7.0,4.262,2.0,7.0,4.524,2.0,7.0,4.346,2.0,7.0,4.344,2.0,7.0,4.4,2.0,7.0,0.4
5,4.488,2.0,7.0,4.42,2.0,7.0,4.378,2.0,7.0,4.322,2.0,6.0,4.6,2.0,7.0,4.41,2.0,7.0,4.226,2.0,7.0,4.264,2.0,7.0,4.524,2.0,7.0,4.352,2.0,7.0,4.338,2.0,7.0,4.392,2.0,7.0,0.5
6,4.49,2.0,7.0,4.42,2.0,7.0,4.378,2.0,7.0,4.334,2.0,6.0,4.606,2.0,7.0,4.406,2.0,7.0,4.226,2.0,7.0,4.262,2.0,7.0,4.528,2.0,7.0,4.35,2.0,7.0,4.348,2.0,7.0,4.388,2.0,7.0,0.6
7,4.488,2.0,7.0,4.42,2.0,7.0,4.376,2.0,7.0,4.336,2.0,6.0,4.6,2.0,7.0,4.414,2.0,7.0,4.228,2.0,7.0,4.272,2.0,7.0,4.532,2.0,7.0,4.35,2.0,7.0,4.352,2.0,7.0,4.39,2.0,7.0,0.7
8,4.486,2.0,7.0,4.42,2.0,7.0,4.366,2.0,7.0,4.34,2.0,6.0,4.598,2.0,7.0,4.412,2.0,7.0,4.232,2.0,7.0,4.274,2.0,7.0,4.524,2.0,7.0,4.346,2.0,7.0,4.362,2.0,7.0,4.396,2.0,7.0,0.8
9,4.492,2.0,7.0,4.416,2.0,7.0,4.356,2.0,7.0,4.34,2.0,6.0,4.602,2.0,7.0,4.408,2.0,7.0,4.234,2.0,7.0,4.278,2.0,7.0,4.518,2.0,7.0,4.346,2.0,7.0,4.368,2.0,7.0,4.39,2.0,7.0,0.9
